total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
0,-0.26717,0.0197866,nan,0.321557,0.555027
1,0.732101,0.0198406,9.34406e-06,0.321562,0.555035
2,1.73138,0.0198937,5.3948e-06,0.321557,0.555028
3,2.73066,0.0199475,0,0.321576,0.555038
4,3.72993,0.0200015,nan,0.321576,0.555038
5,4.7292,0.0200555,nan,0.321576,0.555038
6,5.72847,0.0201098,0,0.321557,0.555028
7,6.72772,0.0201647,0,0.321562,0.555035
8,7.72699,0.0202188,7.62939e-06,0.321557,0.555027
9,8.72624,0.0202746,nan,0.321562,0.555035
10,9.7255,0.0203296,5.3948e-06,0.321558,0.55503
11,10.7248,0.0203845,nan,0.321557,0.555027
12,11.724,0.0204404,7.62939e-06,0.321557,0.555027
13,12.7232,0.0204963,9.34406e-06,0.321557,0.555027
14,13.7225,0.0205528,nan,0.321576,0.555038
15,14.7217,0.020609,nan,0.321557,0.555028
16,15.721,0.0206658,nan,0.321557,0.555028
17,16.7202,0.0207226,9.34406e-06,0.321558,0.55503
18,17.7194,0.0207794,5.3948e-06,0.321557,0.555027
19,18.7186,0.0208371,0,0.321558,0.55503
20,19.7179,0.0208949,0,0.321562,0.555035
21,20.7171,0.0209526,5.3948e-06,0.321558,0.55503
22,21.7163,0.0210104,5.3948e-06,0.321557,0.555028
23,22.7155,0.0210688,9.34406e-06,0.321575,0.555038
24,23.7147,0.0211275,nan,0.321575,0.555038
25,24.7139,0.0211855,7.62939e-06,0.321557,0.555027
26,25.7131,0.0212451,7.62939e-06,0.321557,0.555028
27,26.7123,0.0213046,7.62939e-06,0.321562,0.555035
28,27.7115,0.021364,9.34406e-06,0.321575,0.555038
29,28.7107,0.0214239,7.62939e-06,0.321561,0.555035
30,29.7099,0.0214835,0,0.321557,0.555028
31,30.7091,0.0215438,1.07896e-05,0.321575,0.555038
32,31.7083,0.0216046,nan,0.321557,0.555029
33,32.7075,0.0216651,nan,0.321557,0.555029
34,33.7066,0.0217256,nan,0.321556,0.555027
35,34.7058,0.0217871,0,0.321556,0.555027
36,35.705,0.0218486,nan,0.321556,0.555027
37,36.7042,0.0219107,7.62939e-06,0.321575,0.555037
38,37.7033,0.0219731,nan,0.321575,0.555038
39,38.7025,0.0220348,0,0.321556,0.555027
40,39.7016,0.0220981,0,0.321561,0.555035
41,40.7008,0.0221606,0,0.321557,0.555029
42,41.6999,0.0222239,0,0.321561,0.555035
43,42.6991,0.0222872,1.07896e-05,0.321561,0.555035
44,43.6982,0.0223512,7.62939e-06,0.321575,0.555038
45,44.6973,0.0224148,0,0.321556,0.555027
46,45.6965,0.022479,nan,0.321561,0.555034
47,46.6956,0.0225433,1.07896e-05,0.321556,0.555027
48,47.6947,0.0226085,nan,0.321557,0.555029
49,48.6938,0.0226737,7.62939e-06,0.321561,0.555034
50,49.693,0.0227389,0,0.321557,0.555029
51,50.6921,0.0228041,7.62939e-06,0.321556,0.555027
52,51.6912,0.0228702,nan,0.321561,0.555034
53,52.6903,0.0229363,0,0.321556,0.555027
54,53.6894,0.0230031,nan,0.321574,0.555037
55,54.6885,0.0230695,0,0.321561,0.555034
56,55.6876,0.0231365,7.62939e-06,0.321561,0.555034
57,56.6867,0.0232043,nan,0.321574,0.555038
58,57.6858,0.0232716,1.07896e-05,0.321556,0.555027
59,58.6849,0.0233396,0,0.321561,0.555034
60,59.6839,0.0234076,nan,0.321556,0.555027
61,60.683,0.0234765,0,0.321557,0.555029
62,61.6821,0.0235454,1.07896e-05,0.321557,0.555029
63,62.6811,0.0236143,0,0.321556,0.555027
64,63.6802,0.0236833,0,0.321556,0.555026
65,64.6793,0.023754,nan,0.321561,0.555035
66,65.6783,0.023823,7.62939e-06,0.321556,0.555026
67,66.6774,0.0238938,nan,0.321556,0.555026
68,67.6764,0.0239645,nan,0.321556,0.555027
69,68.6755,0.0240353,nan,0.321556,0.555027
70,69.6745,0.0241068,1.07896e-05,0.321573,0.555036
71,70.6735,0.0241787,1.07896e-05,0.321557,0.555029
72,71.6726,0.0242504,nan,0.32156,0.555034
73,72.6716,0.0243222,7.62939e-06,0.321556,0.555026
74,73.6706,0.0243948,0,0.321556,0.555026
75,74.6696,0.0244681,1.32145e-05,0.321573,0.555036
76,75.6686,0.0245419,7.62939e-06,0.321561,0.555034
77,76.6676,0.0246146,0,0.321556,0.555026
78,77.6666,0.0246891,7.62939e-06,0.321557,0.555029
79,78.6656,0.0247636,1.07896e-05,0.32156,0.555034
80,79.6646,0.0248381,1.32145e-05,0.32156,0.555034
81,80.6636,0.0249126,0,0.321556,0.555027
82,81.6626,0.0249878,0,0.321573,0.555036
83,82.6616,0.0250635,0,0.321556,0.555027
84,83.6605,0.0251398,1.32145e-05,0.321561,0.555036
85,84.6595,0.0252162,nan,0.321561,0.555036
86,85.6585,0.0252926,nan,0.321557,0.555029
87,86.6575,0.025369,nan,0.321555,0.555026
88,87.6564,0.0254472,nan,0.321561,0.555036
89,88.6554,0.0255242,nan,0.321572,0.555036
90,89.6543,0.0256018,7.62939e-06,0.321555,0.555026
91,90.6532,0.0256807,nan,0.321572,0.555036
92,91.6522,0.0257601,1.07896e-05,0.321561,0.555036
93,92.6511,0.0258383,0,0.321555,0.555026
94,93.65,0.0259184,1.07896e-05,0.321561,0.555035
