total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
0,-0.26717,0.0197866,9.34406e-06,0.102455,0.349337
1,0.732101,0.0198406,1.07896e-05,0.102457,0.349343
2,1.73138,0.0198937,0,0.102455,0.349337
3,2.73066,0.0199477,5.3948e-06,0.102463,0.349349
4,3.72993,0.0200017,nan,0.102463,0.349349
5,4.7292,0.0200557,5.3948e-06,0.102463,0.349349
6,5.72847,0.0201098,nan,0.102455,0.349337
7,6.72772,0.0201647,5.3948e-06,0.102457,0.349343
8,7.72699,0.0202188,5.3948e-06,0.102455,0.349337
9,8.72624,0.0202746,0,0.102457,0.349343
10,9.7255,0.0203296,nan,0.102456,0.349339
11,10.7248,0.0203845,nan,0.102455,0.349337
12,11.724,0.0204404,5.3948e-06,0.102455,0.349337
13,12.7232,0.0204963,7.62939e-06,0.102455,0.349337
14,13.7225,0.020553,nan,0.102463,0.349349
15,14.7217,0.020609,nan,0.102455,0.349337
16,15.721,0.0206658,nan,0.102455,0.349337
17,16.7202,0.0207226,nan,0.102456,0.349339
18,17.7194,0.0207794,nan,0.102455,0.349337
19,18.7186,0.0208371,0,0.102456,0.349339
20,19.7179,0.0208949,nan,0.102457,0.349342
21,20.7171,0.0209526,nan,0.102456,0.349339
22,21.7163,0.0210104,nan,0.102455,0.349337
23,22.7155,0.021069,0,0.102463,0.349349
24,23.7147,0.0211276,nan,0.102463,0.349349
25,24.7139,0.0211855,nan,0.102455,0.349337
26,25.7131,0.0212451,nan,0.102455,0.349337
27,26.7123,0.0213047,nan,0.102457,0.349342
28,27.7115,0.0213642,0,0.102463,0.349349
29,28.7107,0.0214239,0,0.102457,0.349342
30,29.7099,0.0214835,nan,0.102455,0.349337
31,30.7091,0.0215439,0,0.102463,0.349349
32,31.7083,0.0216046,5.3948e-06,0.102456,0.349339
33,32.7075,0.0216651,nan,0.102456,0.349339
34,33.7066,0.0217256,5.3948e-06,0.102455,0.349337
35,34.7058,0.0217871,1.20631e-05,0.102455,0.349337
36,35.705,0.0218486,nan,0.102455,0.349337
37,36.7041,0.0219109,0,0.102463,0.349348
38,37.7033,0.0219733,5.3948e-06,0.102463,0.349349
39,38.7025,0.0220348,nan,0.102455,0.349337
40,39.7016,0.0220981,1.07896e-05,0.102457,0.349342
41,40.7008,0.0221606,0,0.102456,0.349338
42,41.6999,0.0222239,0,0.102457,0.349342
43,42.6991,0.0222872,7.62939e-06,0.102457,0.349342
44,43.6982,0.0223514,1.07896e-05,0.102463,0.349349
45,44.6973,0.0224148,1.07896e-05,0.102455,0.349337
46,45.6965,0.0224791,1.07896e-05,0.102457,0.349342
47,46.6956,0.0225433,7.62939e-06,0.102455,0.349337
48,47.6947,0.0226085,nan,0.102456,0.349338
49,48.6938,0.0226737,nan,0.102457,0.349342
50,49.693,0.0227389,nan,0.102456,0.349338
51,50.6921,0.0228041,7.62939e-06,0.102455,0.349337
52,51.6912,0.0228702,7.62939e-06,0.102457,0.349342
53,52.6903,0.0229363,1.07896e-05,0.102455,0.349337
54,53.6894,0.0230033,7.62939e-06,0.102462,0.349348
55,54.6885,0.0230695,nan,0.102457,0.349342
56,55.6876,0.0231366,1.07896e-05,0.102457,0.349342
57,56.6867,0.0232045,7.62939e-06,0.102462,0.349348
58,57.6858,0.0232716,7.62939e-06,0.102455,0.349337
59,58.6849,0.0233396,7.62939e-06,0.102457,0.349342
60,59.6839,0.0234076,nan,0.102455,0.349336
61,60.683,0.0234765,0,0.102455,0.349338
62,61.6821,0.0235454,nan,0.102455,0.349338
63,62.6811,0.0236144,nan,0.102455,0.349337
64,63.6802,0.0236833,7.62939e-06,0.102455,0.349336
65,64.6793,0.023754,1.32145e-05,0.102457,0.349342
66,65.6783,0.023823,1.07896e-05,0.102455,0.349336
67,66.6774,0.0238937,nan,0.102455,0.349336
68,67.6764,0.0239645,nan,0.102455,0.349337
69,68.6755,0.0240353,7.62939e-06,0.102455,0.349336
70,69.6745,0.0241069,nan,0.102462,0.349347
71,70.6735,0.0241787,0,0.102455,0.349338
72,71.6726,0.0242504,nan,0.102457,0.349341
73,72.6716,0.0243222,0,0.102455,0.349336
74,73.6706,0.0243948,1.07896e-05,0.102455,0.349336
75,74.6696,0.0244683,nan,0.102462,0.349347
76,75.6686,0.0245419,0,0.102457,0.349342
77,76.6676,0.0246146,nan,0.102455,0.349336
78,77.6666,0.0246891,nan,0.102455,0.349338
79,78.6656,0.0247636,nan,0.102457,0.349342
80,79.6646,0.0248381,nan,0.102457,0.349342
81,80.6636,0.0249126,7.62939e-06,0.102455,0.349337
82,81.6626,0.024988,1.32145e-05,0.102462,0.349347
83,82.6616,0.0250635,1.07896e-05,0.102455,0.349336
84,83.6605,0.0251398,0,0.102457,0.349343
85,84.6595,0.0252162,1.52588e-05,0.102457,0.349343
86,85.6585,0.0252926,nan,0.102455,0.349338
87,86.6575,0.025369,0,0.102455,0.349336
88,87.6564,0.0254472,0,0.102457,0.349343
89,88.6554,0.0255244,1.52588e-05,0.102462,0.349347
90,89.6543,0.0256018,1.07896e-05,0.102455,0.349336
91,90.6532,0.0256809,nan,0.102462,0.349346
92,91.6522,0.0257601,0,0.102457,0.349343
93,92.6511,0.0258383,1.07896e-05,0.102455,0.349336
94,93.65,0.0259184,1.32145e-05,0.102457,0.349343
95,94.649,0.0259985,nan,0.102457,0.349342
96,95.6479,0.0260786,nan,0.102457,0.349342
97,96.6468,0.0261587,0,0.102455,0.349336
98,97.6457,0.0262397,7.62939e-06,0.102462,0.349346
99,98.6446,0.0263208,0,0.102455,0.349336
100,99.6435,0.0264027,0,0.102455,0.349337
101,100.642,0.0264847,7.62939e-06,0.102455,0.349336
102,101.641,0.0265666,0,0.102455,0.349336
103,102.64,0.0266505,nan,0.102455,0.349339
104,103.639,0.0267342,0,0.102463,0.349351
105,104.638,0.0268171,nan,0.102461,0.349346
106,105.637,0.0269018,0,0.102463,0.349351
107,106.636,0.0269857,7.62939e-06,0.102455,0.349338
108,107.634,0.0270704,nan,0.102461,0.349346
109,108.633,0.0271552,1.07896e-05,0.102455,0.349336
110,109.632,0.0272409,0,0.102455,0.349336
111,110.631,0.0273266,nan,0.102455,0.349336
112,111.63,0.0274141,7.62939e-06,0.102457,0.349342
113,112.629,0.0275007,nan,0.102461,0.349346
114,113.628,0.0275874,0,0.102455,0.349336
115,114.626,0.0276749,nan,0.102455,0.349336
116,115.625,0.0277642,7.62939e-06,0.102463,0.349351
117,116.624,0.0278519,0,0.102455,0.349336
118,117.623,0.0279413,7.62939e-06,0.102455,0.349339
119,118.622,0.0280307,7.62939e-06,0.102455,0.349339
120,119.62,0.0281201,0,0.102455,0.349336
121,120.619,0.0282112,nan,0.102468,0.349356
122,121.618,0.0283008,nan,0.102455,0.349335
123,122.617,0.028392,7.62939e-06,0.102455,0.349336
124,123.615,0.0284833,0,0.102455,0.349335
125,124.614,0.0285764,nan,0.102458,0.349345
126,125.613,0.0286677,nan,0.102454,0.349335
127,126.612,0.0287608,0,0.102455,0.349336
128,127.61,0.028854,0,0.102454,0.349335
129,128.609,0.0289488,1.32145e-05,0.102468,0.349356
130,129.608,0.0290421,nan,0.102455,0.349336
131,130.607,0.0291371,nan,0.102455,0.349336
132,131.605,0.0292321,1.07896e-05,0.102455,0.349336
133,132.604,0.0293288,0,0.102467,0.349355
134,133.603,0.0294239,nan,0.102455,0.349336
135,134.601,0.0295208,nan,0.102455,0.349338
136,135.6,0.0296176,nan,0.102455,0.349338
137,136.599,0.0297145,nan,0.102454,0.349335
138,137.597,0.0298132,0,0.102455,0.349338
139,138.596,0.0299119,7.62939e-06,0.102455,0.349338
140,139.595,0.0300107,nan,0.102455,0.349338
141,140.593,0.0301094,7.62939e-06,0.102454,0.349335
142,141.592,0.03021,7.62939e-06,0.102454,0.349335
143,142.591,0.0303106,nan,0.102455,0.349338
144,143.589,0.0304111,nan,0.102454,0.349335
145,144.588,0.0305136,nan,0.102457,0.349344
146,145.587,0.0306159,nan,0.102467,0.349354
147,146.585,0.0307183,7.62939e-06,0.102467,0.349355
148,147.584,0.0308209,0,0.102457,0.349344
149,148.582,0.0309251,nan,0.102467,0.349355
150,149.581,0.0310277,1.32145e-05,0.102454,0.349335
151,150.58,0.0311337,nan,0.102467,0.349355
152,151.578,0.0312381,1.52588e-05,0.102457,0.349344
153,152.577,0.0313442,nan,0.102467,0.349354
154,153.575,0.0314503,0,0.102467,0.349354
155,154.574,0.0315566,nan,0.102457,0.349344
156,155.572,0.0316628,nan,0.102454,0.349335
157,156.571,0.0317709,nan,0.102454,0.349335
158,157.57,0.0318789,1.07896e-05,0.102454,0.349334
159,158.568,0.0319888,nan,0.102457,0.349344
160,159.567,0.0320987,nan,0.102457,0.349344
161,160.565,0.0322086,1.07896e-05,0.102457,0.349343
162,161.564,0.0323185,1.52588e-05,0.102454,0.349335
163,162.562,0.0324302,1.07896e-05,0.102457,0.349343
164,163.561,0.032542,1.07896e-05,0.102457,0.349343
165,164.559,0.0326537,1.52588e-05,0.102455,0.349337
166,165.558,0.0327672,2.6429e-05,0.102466,0.349353
167,166.556,0.032881,1.86881e-05,0.102457,0.349343
168,167.554,0.0329946,2.15792e-05,0.102457,0.349343
169,168.553,0.0331082,nan,0.102454,0.349334
170,169.551,0.0332237,nan,0.102454,0.349335
171,170.55,0.0333409,0,0.102466,0.349353
172,171.548,0.0334565,0,0.102457,0.349343
