total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
0,-0.26717,0.0197866,5.3948e-06,0.107459,0.360744
1,0.732101,0.0198406,1.07896e-05,0.107462,0.36075
2,1.73138,0.0198937,nan,0.107459,0.360744
3,2.73066,0.0199477,nan,0.107468,0.360756
4,3.72993,0.0200017,nan,0.107468,0.360756
5,4.7292,0.0200557,0,0.107468,0.360756
6,5.72847,0.0201098,0,0.107459,0.360744
7,6.72772,0.0201647,nan,0.107462,0.36075
8,7.72699,0.0202188,5.3948e-06,0.107459,0.360744
9,8.72624,0.0202746,1.07896e-05,0.107462,0.36075
10,9.7255,0.0203296,5.3948e-06,0.10746,0.360745
11,10.7248,0.0203845,0,0.107459,0.360744
12,11.724,0.0204404,1.07896e-05,0.107459,0.360744
13,12.7232,0.0204963,1.07896e-05,0.107459,0.360744
14,13.7225,0.020553,nan,0.107468,0.360756
15,14.7217,0.020609,nan,0.107459,0.360744
16,15.721,0.0206658,7.62939e-06,0.107459,0.360744
17,16.7202,0.0207226,nan,0.10746,0.360745
18,17.7194,0.0207794,nan,0.107459,0.360743
19,18.7186,0.0208372,0,0.10746,0.360745
20,19.7179,0.0208949,0,0.107462,0.36075
21,20.7171,0.0209526,5.3948e-06,0.10746,0.360745
22,21.7163,0.0210104,nan,0.107459,0.360744
23,22.7155,0.021069,nan,0.107467,0.360756
24,23.7147,0.0211276,0,0.107467,0.360756
25,24.7139,0.0211855,nan,0.107459,0.360743
26,25.7131,0.0212451,0,0.107459,0.360744
27,26.7123,0.0213047,nan,0.107462,0.36075
28,27.7115,0.0213642,5.3948e-06,0.107467,0.360756
29,28.7107,0.0214239,0,0.107462,0.36075
30,29.7099,0.0214835,5.3948e-06,0.107459,0.360743
31,30.7091,0.0215439,1.32145e-05,0.107467,0.360755
32,31.7083,0.0216046,7.62939e-06,0.10746,0.360745
33,32.7075,0.0216651,nan,0.10746,0.360745
34,33.7066,0.0217256,nan,0.107459,0.360743
35,34.7058,0.0217871,9.34406e-06,0.107459,0.360743
36,35.705,0.0218486,nan,0.107459,0.360743
37,36.7041,0.0219109,nan,0.107467,0.360755
38,37.7033,0.0219733,7.62939e-06,0.107467,0.360755
39,38.7025,0.0220348,5.3948e-06,0.107459,0.360743
40,39.7016,0.0220981,0,0.107461,0.360749
41,40.7008,0.0221606,0,0.10746,0.360745
42,41.6999,0.0222239,7.62939e-06,0.107461,0.360749
43,42.6991,0.0222872,0,0.107461,0.360749
44,43.6982,0.0223514,1.52588e-05,0.107467,0.360755
45,44.6973,0.0224148,7.62939e-06,0.107459,0.360743
46,45.6965,0.0224791,7.62939e-06,0.107461,0.360749
47,46.6956,0.0225433,nan,0.107459,0.360743
48,47.6947,0.0226085,nan,0.10746,0.360745
49,48.6938,0.0226737,7.62939e-06,0.107461,0.360749
50,49.693,0.0227389,0,0.10746,0.360745
51,50.6921,0.0228041,7.62939e-06,0.107459,0.360743
52,51.6912,0.0228702,0,0.107461,0.360749
53,52.6903,0.0229363,1.07896e-05,0.107459,0.360743
54,53.6894,0.0230033,0,0.107467,0.360755
55,54.6885,0.0230695,0,0.107461,0.360749
56,55.6876,0.0231366,7.62939e-06,0.107461,0.360749
57,56.6867,0.0232045,nan,0.107467,0.360755
58,57.6858,0.0232716,7.62939e-06,0.107459,0.360743
59,58.6849,0.0233396,0,0.107461,0.360749
60,59.6839,0.0234076,7.62939e-06,0.107459,0.360743
61,60.683,0.0234765,0,0.107459,0.360744
62,61.6821,0.0235454,0,0.107459,0.360744
63,62.6811,0.0236143,1.32145e-05,0.107459,0.360743
64,63.6802,0.0236833,7.62939e-06,0.107459,0.360743
65,64.6793,0.023754,0,0.107461,0.360749
66,65.6783,0.023823,nan,0.107459,0.360743
67,66.6774,0.0238937,7.62939e-06,0.107459,0.360743
68,67.6764,0.0239645,1.07896e-05,0.107459,0.360743
69,68.6755,0.0240353,1.07896e-05,0.107459,0.360743
70,69.6745,0.0241069,7.62939e-06,0.107466,0.360754
71,70.6735,0.0241787,nan,0.107459,0.360744
72,71.6726,0.0242504,0,0.107461,0.360749
73,72.6716,0.0243222,nan,0.107459,0.360743
74,73.6706,0.0243948,1.07896e-05,0.107459,0.360743
75,74.6696,0.0244683,nan,0.107466,0.360754
76,75.6686,0.0245419,nan,0.107461,0.360749
77,76.6676,0.0246146,nan,0.107459,0.360743
78,77.6666,0.0246891,nan,0.107459,0.360744
79,78.6656,0.0247636,nan,0.107461,0.360749
80,79.6646,0.0248381,7.62939e-06,0.107461,0.360749
81,80.6636,0.0249126,nan,0.107459,0.360743
82,81.6626,0.024988,0,0.107466,0.360754
83,82.6616,0.0250635,nan,0.107459,0.360743
84,83.6605,0.0251398,nan,0.107461,0.36075
85,84.6595,0.0252162,0,0.107461,0.36075
86,85.6585,0.0252926,nan,0.107459,0.360744
87,86.6575,0.025369,nan,0.107459,0.360743
88,87.6564,0.0254472,7.62939e-06,0.107461,0.36075
89,88.6554,0.0255244,nan,0.107466,0.360754
90,89.6543,0.0256018,0,0.107459,0.360743
91,90.6532,0.0256809,nan,0.107466,0.360753
92,91.6522,0.0257601,nan,0.107461,0.36075
93,92.6511,0.0258383,nan,0.107459,0.360743
94,93.65,0.0259184,nan,0.107461,0.36075
95,94.649,0.0259985,nan,0.107461,0.36075
96,95.6479,0.0260786,nan,0.107461,0.360749
97,96.6468,0.0261587,nan,0.107459,0.360743
98,97.6457,0.0262397,0,0.107466,0.360753
99,98.6446,0.0263208,nan,0.107459,0.360742
100,99.6435,0.0264027,nan,0.107459,0.360743
101,100.642,0.0264847,nan,0.107459,0.360742
102,101.641,0.0265666,1.07896e-05,0.107459,0.360742
103,102.64,0.0266505,nan,0.107459,0.360745
104,103.639,0.0267342,0,0.107468,0.360759
105,104.638,0.0268171,nan,0.107466,0.360753
106,105.637,0.0269018,nan,0.107468,0.360759
107,106.636,0.0269857,nan,0.107459,0.360744
108,107.634,0.0270704,nan,0.107466,0.360753
109,108.633,0.0271552,7.62939e-06,0.107459,0.360742
110,109.632,0.0272409,nan,0.107459,0.360742
111,110.631,0.0273266,0,0.107459,0.360742
112,111.63,0.0274141,nan,0.107461,0.360749
113,112.629,0.0275007,nan,0.107466,0.360753
114,113.628,0.0275874,0,0.107459,0.360742
115,114.626,0.0276749,nan,0.107459,0.360742
116,115.625,0.0277642,nan,0.107468,0.360758
117,116.624,0.0278519,0,0.107459,0.360742
118,117.623,0.0279413,1.07896e-05,0.107459,0.360745
119,118.622,0.0280307,0,0.107459,0.360745
120,119.62,0.0281201,1.07896e-05,0.107459,0.360742
121,120.619,0.0282112,0,0.107472,0.360763
122,121.618,0.0283008,1.52588e-05,0.107459,0.360742
123,122.617,0.028392,1.07896e-05,0.107459,0.360742
124,123.615,0.0284833,1.07896e-05,0.107459,0.360742
125,124.614,0.0285764,0,0.107462,0.360753
126,125.613,0.0286677,1.52588e-05,0.107459,0.360742
127,126.612,0.0287608,0,0.107459,0.360742
128,127.61,0.028854,1.07896e-05,0.107458,0.360742
129,128.609,0.0289488,7.62939e-06,0.107472,0.360763
130,129.608,0.0290421,1.07896e-05,0.107459,0.360742
131,130.607,0.0291371,0,0.107458,0.360742
132,131.605,0.0292321,1.52588e-05,0.107458,0.360742
133,132.604,0.0293288,2.28882e-05,0.107472,0.360762
134,133.603,0.0294239,1.07896e-05,0.107458,0.360742
135,134.601,0.0295208,nan,0.107459,0.360744
136,135.6,0.0296176,nan,0.107459,0.360744
137,136.599,0.0297145,nan,0.107458,0.360742
138,137.597,0.0298132,nan,0.107459,0.360744
139,138.596,0.0299119,nan,0.107459,0.360744
140,139.595,0.0300107,nan,0.107459,0.360744
141,140.593,0.0301094,nan,0.107458,0.360741
142,141.592,0.03021,nan,0.107458,0.360742
143,142.591,0.0303106,nan,0.107459,0.360744
144,143.589,0.0304111,nan,0.107458,0.360742
145,144.588,0.0305136,1.70598e-05,0.107462,0.360752
146,145.587,0.0306159,nan,0.107471,0.360762
147,146.585,0.0307183,1.32145e-05,0.107471,0.360762
148,147.584,0.0308209,1.07896e-05,0.107462,0.360752
149,148.582,0.0309251,nan,0.107471,0.360761
150,149.581,0.0310277,2.01855e-05,0.107458,0.360741
151,150.58,0.0311337,nan,0.107471,0.360762
152,151.578,0.0312381,1.32145e-05,0.107462,0.360751
153,152.577,0.0313441,nan,0.107471,0.360761
154,153.575,0.0314503,nan,0.107471,0.360761
155,154.574,0.0315566,nan,0.107462,0.360751
156,155.572,0.0316628,nan,0.107458,0.360741
157,156.571,0.0317709,nan,0.107458,0.360741
158,157.57,0.0318789,1.52588e-05,0.107458,0.360741
159,158.568,0.0319888,0,0.107462,0.360751
160,159.567,0.0320987,0,0.107462,0.360751
161,160.565,0.0322086,1.07896e-05,0.107462,0.360751
162,161.564,0.0323185,1.52588e-05,0.107458,0.360741
163,162.562,0.0324302,nan,0.107462,0.360751
164,163.561,0.032542,0,0.107462,0.360751
165,164.559,0.0326538,nan,0.107459,0.360743
166,165.558,0.0327672,1.07896e-05,0.107471,0.360761
167,166.556,0.032881,1.07896e-05,0.107462,0.360751
168,167.554,0.0329946,nan,0.107462,0.360751
169,168.553,0.0331082,nan,0.107458,0.360741
170,169.551,0.0332237,nan,0.107458,0.360741
171,170.55,0.0333409,nan,0.107471,0.36076
172,171.548,0.0334565,0,0.107461,0.360751
173,172.547,0.0335739,nan,0.107458,0.360743
174,173.545,0.0336912,nan,0.107461,0.36075
175,174.543,0.0338103,nan,0.10747,0.36076
176,175.542,0.0339278,nan,0.107458,0.360741
177,176.54,0.0340487,1.07896e-05,0.10747,0.36076
178,177.539,0.0341681,nan,0.107458,0.360743
179,178.537,0.0342892,1.07896e-05,0.107458,0.360743
180,179.535,0.0344119,nan,0.107471,0.360762
181,180.534,0.034533,1.52588e-05,0.10747,0.360759
182,181.532,0.0346559,1.07896e-05,0.10747,0.360759
183,182.53,0.034779,nan,0.107461,0.36075
184,183.529,0.0349038,nan,0.107461,0.36075
185,184.527,0.0350285,nan,0.10747,0.360759
186,185.525,0.0351534,1.07896e-05,0.107458,0.360743
187,186.524,0.0352801,nan,0.107461,0.36075
188,187.522,0.0354067,1.07896e-05,0.107461,0.36075
189,188.52,0.0355334,nan,0.107458,0.360742
190,189.518,0.0356618,0,0.10747,0.360759
191,190.517,0.0357905,nan,0.107458,0.360742
192,191.515,0.0359208,1.86881e-05,0.107462,0.360752
193,192.513,0.0360512,nan,0.107461,0.360752
194,193.511,0.0361816,1.86881e-05,0.107461,0.36075
195,194.51,0.036312,0,0.107457,0.36074
196,195.508,0.0364461,nan,0.107461,0.360752
197,196.506,0.0365783,nan,0.107461,0.360749
198,197.504,0.0367123,1.07896e-05,0.10747,0.360758
199,198.502,0.0368465,0,0.107461,0.360749
200,199.501,0.0369825,nan,0.107461,0.360749
201,200.499,0.0371183,nan,0.107469,0.360758
202,201.497,0.0372545,nan,0.107458,0.360742
203,202.495,0.0373923,0,0.107458,0.360742
204,203.493,0.0375302,1.07896e-05,0.107457,0.36074
205,204.491,0.0376698,nan,0.107461,0.360749
206,205.489,0.0378096,nan,0.107458,0.360742
207,206.488,0.0379511,0,0.107461,0.360751
208,207.486,0.0380927,nan,0.107461,0.360751
209,208.484,0.0382342,0,0.10746,0.360749
210,209.482,0.0383775,nan,0.107469,0.360757
211,210.48,0.0385211,0,0.107461,0.360751
212,211.478,0.0386663,1.07896e-05,0.107461,0.360751
213,212.476,0.0388116,nan,0.107461,0.36075
214,213.474,0.0389569,nan,0.107458,0.360741
215,214.472,0.0391056,nan,0.10748,0.360775
216,215.47,0.0392512,0,0.107457,0.360739
217,216.468,0.0394002,nan,0.107457,0.360741
218,217.466,0.0395493,0,0.107457,0.360739
219,218.464,0.0397018,nan,0.107472,0.360766
220,219.462,0.039851,nan,0.107457,0.360739
221,220.46,0.0400037,nan,0.107457,0.360741
222,221.458,0.0401565,nan,0.107457,0.360739
223,222.456,0.0403127,1.52588e-05,0.107472,0.360765
224,223.454,0.0404657,1.07896e-05,0.107457,0.360741
225,224.451,0.0406221,0,0.107461,0.36075
226,225.449,0.0407786,0,0.10746,0.36075
227,226.447,0.0409351,nan,0.107457,0.360739
