total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
0,-0.26717,0.0197866,1.32145e-05,0.0889439,0.306121
1,0.732101,0.0198406,5.3948e-06,0.0889448,0.306123
2,1.73138,0.0198937,nan,0.088944,0.306121
3,2.73066,0.0199477,5.3948e-06,0.0889508,0.306131
4,3.72993,0.0200017,nan,0.0889507,0.306131
5,4.7292,0.0200557,nan,0.0889508,0.306132
6,5.72847,0.0201098,0,0.088944,0.306121
7,6.72772,0.0201647,0,0.0889448,0.306123
8,7.72699,0.0202188,9.34406e-06,0.088944,0.306121
9,8.72624,0.0202746,nan,0.0889447,0.306123
10,9.7255,0.0203296,nan,0.0889441,0.306122
11,10.7248,0.0203845,9.34406e-06,0.0889439,0.306121
12,11.724,0.0204404,1.07896e-05,0.0889439,0.306121
13,12.7232,0.0204963,1.07896e-05,0.0889439,0.306121
14,13.7225,0.020553,nan,0.0889507,0.306131
15,14.7217,0.020609,0,0.0889439,0.306121
16,15.721,0.0206658,7.62939e-06,0.088944,0.306121
17,16.7202,0.0207226,7.62939e-06,0.088944,0.306121
18,17.7194,0.0207794,nan,0.0889439,0.306121
19,18.7186,0.0208372,5.3948e-06,0.0889441,0.306121
20,19.7179,0.0208949,nan,0.0889447,0.306123
21,20.7171,0.0209526,0,0.0889441,0.306121
22,21.7163,0.0210104,nan,0.0889439,0.306121
23,22.7155,0.021069,5.3948e-06,0.0889505,0.306131
24,23.7147,0.0211276,nan,0.0889506,0.306131
25,24.7139,0.0211855,nan,0.0889439,0.306121
26,25.7131,0.0212451,5.3948e-06,0.0889439,0.306121
27,26.7123,0.0213047,nan,0.0889447,0.306123
28,27.7115,0.0213642,nan,0.0889505,0.306131
29,28.7107,0.0214239,nan,0.0889446,0.306123
30,29.7099,0.0214835,nan,0.0889439,0.306121
31,30.7091,0.0215439,nan,0.0889505,0.306131
32,31.7083,0.0216046,nan,0.088944,0.306121
33,32.7075,0.0216651,nan,0.088944,0.306121
34,33.7066,0.0217256,nan,0.0889438,0.30612
35,34.7058,0.0217871,nan,0.0889438,0.30612
36,35.705,0.0218486,nan,0.0889439,0.306121
37,36.7041,0.0219109,nan,0.0889503,0.306131
38,37.7033,0.0219733,1.20631e-05,0.0889504,0.306131
39,38.7025,0.0220348,nan,0.0889438,0.30612
40,39.7016,0.0220982,nan,0.0889446,0.306123
41,40.7008,0.0221606,nan,0.088944,0.306121
42,41.6999,0.0222239,0,0.0889445,0.306123
43,42.6991,0.0222872,0,0.0889446,0.306123
44,43.6982,0.0223514,7.62939e-06,0.0889504,0.306131
45,44.6973,0.0224148,nan,0.0889438,0.306121
46,45.6965,0.0224791,nan,0.0889446,0.306123
47,46.6956,0.0225433,0,0.0889438,0.30612
48,47.6947,0.0226085,nan,0.088944,0.306121
49,48.6938,0.0226737,nan,0.0889445,0.306123
50,49.693,0.0227389,7.62939e-06,0.0889439,0.306121
51,50.6921,0.0228041,7.62939e-06,0.0889438,0.30612
52,51.6912,0.0228702,nan,0.0889445,0.306123
53,52.6903,0.0229363,0,0.0889438,0.306121
54,53.6894,0.0230033,nan,0.0889501,0.306131
55,54.6885,0.0230695,nan,0.0889445,0.306123
56,55.6876,0.0231366,nan,0.0889445,0.306123
57,56.6867,0.0232045,nan,0.0889502,0.306131
58,57.6858,0.0232716,nan,0.0889437,0.306121
59,58.6849,0.0233396,nan,0.0889445,0.306123
60,59.6839,0.0234076,nan,0.0889437,0.30612
61,60.683,0.0234765,7.62939e-06,0.0889438,0.306121
62,61.6821,0.0235454,nan,0.0889439,0.306121
63,62.6811,0.0236144,0,0.0889437,0.306121
64,63.6802,0.0236833,nan,0.0889437,0.30612
65,64.6793,0.023754,nan,0.0889445,0.306123
66,65.6783,0.023823,nan,0.0889437,0.30612
67,66.6774,0.0238937,0,0.0889437,0.30612
68,67.6764,0.0239645,nan,0.0889437,0.306121
69,68.6755,0.0240353,nan,0.0889437,0.30612
70,69.6745,0.0241069,nan,0.0889498,0.30613
71,70.6735,0.0241787,nan,0.0889438,0.306121
72,71.6726,0.0242504,nan,0.0889444,0.306123
