total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
0,-0.26717,0.0197866,5.3948e-06,0.113105,0.386451
1,0.732101,0.0198406,0,0.113107,0.386459
2,1.73138,0.0198937,5.3948e-06,0.113105,0.386452
3,2.73066,0.0199477,nan,0.113113,0.386464
4,3.72993,0.0200017,nan,0.113113,0.386464
5,4.7292,0.0200557,0,0.113113,0.386464
6,5.72847,0.0201098,nan,0.113105,0.386452
7,6.72772,0.0201647,nan,0.113107,0.386459
8,7.72699,0.0202188,nan,0.113105,0.386451
9,8.72624,0.0202746,9.34406e-06,0.113107,0.386459
10,9.7255,0.0203296,nan,0.113105,0.386454
11,10.7248,0.0203845,0,0.113104,0.386451
12,11.724,0.0204404,nan,0.113104,0.386451
13,12.7232,0.0204963,0,0.113104,0.386451
14,13.7225,0.020553,nan,0.113113,0.386464
15,14.7217,0.020609,nan,0.113105,0.386452
16,15.721,0.0206658,nan,0.113105,0.386452
17,16.7202,0.0207226,nan,0.113105,0.386454
18,17.7194,0.0207794,nan,0.113104,0.386451
19,18.7186,0.0208372,nan,0.113105,0.386454
20,19.7179,0.0208949,nan,0.113107,0.386458
21,20.7171,0.0209526,nan,0.113105,0.386454
22,21.7163,0.0210104,nan,0.113105,0.386452
23,22.7155,0.021069,nan,0.113113,0.386464
24,23.7147,0.0211276,nan,0.113113,0.386464
25,24.7139,0.0211855,nan,0.113104,0.38645
26,25.7131,0.0212451,nan,0.113105,0.386452
27,26.7123,0.0213047,nan,0.113107,0.386458
28,27.7115,0.0213642,nan,0.113113,0.386464
29,28.7107,0.0214239,nan,0.113107,0.386458
30,29.7099,0.0214835,nan,0.113105,0.386452
31,30.7091,0.0215439,nan,0.113113,0.386463
32,31.7083,0.0216046,5.3948e-06,0.113105,0.386454
33,32.7075,0.0216651,nan,0.113105,0.386454
34,33.7066,0.0217256,nan,0.113104,0.38645
35,34.7058,0.0217871,nan,0.113104,0.38645
36,35.705,0.0218486,nan,0.113104,0.38645
37,36.7041,0.0219109,nan,0.113112,0.386463
38,37.7033,0.0219733,nan,0.113113,0.386464
39,38.7025,0.0220348,nan,0.113104,0.38645
40,39.7016,0.0220981,nan,0.113107,0.386458
41,40.7008,0.0221606,nan,0.113105,0.386454
42,41.6999,0.0222239,nan,0.113107,0.386458
43,42.6991,0.0222872,nan,0.113107,0.386458
44,43.6982,0.0223514,nan,0.113113,0.386464
45,44.6973,0.0224148,nan,0.113104,0.386451
46,45.6965,0.0224791,nan,0.113107,0.386458
47,46.6956,0.0225433,nan,0.113104,0.38645
48,47.6947,0.0226085,nan,0.113105,0.386454
49,48.6938,0.0226737,nan,0.113107,0.386458
50,49.693,0.0227389,nan,0.113105,0.386454
51,50.6921,0.0228041,nan,0.113104,0.38645
52,51.6912,0.0228702,nan,0.113107,0.386458
53,52.6903,0.0229363,nan,0.113104,0.386451
54,53.6894,0.0230033,nan,0.113112,0.386463
55,54.6885,0.0230695,nan,0.113107,0.386458
56,55.6876,0.0231366,nan,0.113107,0.386457
57,56.6867,0.0232045,nan,0.113112,0.386464
58,57.6858,0.0232716,nan,0.113104,0.386451
59,58.6849,0.0233396,nan,0.113107,0.386457
60,59.6839,0.0234076,nan,0.113104,0.38645
61,60.683,0.0234765,nan,0.113105,0.386453
62,61.6821,0.0235454,nan,0.113105,0.386453
63,62.6811,0.0236144,nan,0.113104,0.386451
64,63.6802,0.0236833,nan,0.113104,0.38645
65,64.6793,0.023754,nan,0.113107,0.386458
66,65.6783,0.023823,nan,0.113104,0.38645
67,66.6774,0.0238938,nan,0.113104,0.38645
68,67.6764,0.0239645,nan,0.113104,0.386451
69,68.6755,0.0240353,nan,0.113104,0.38645
70,69.6745,0.0241069,nan,0.113112,0.386462
71,70.6735,0.0241787,nan,0.113105,0.386453
72,71.6726,0.0242504,nan,0.113107,0.386457
73,72.6716,0.0243222,nan,0.113104,0.38645
74,73.6706,0.0243948,nan,0.113104,0.38645
75,74.6696,0.0244683,nan,0.113112,0.386462
76,75.6686,0.0245419,nan,0.113107,0.386458
77,76.6676,0.0246146,nan,0.113104,0.38645
78,77.6666,0.0246891,nan,0.113105,0.386453
79,78.6656,0.0247636,nan,0.113107,0.386458
80,79.6646,0.0248381,1.07896e-05,0.113107,0.386458
81,80.6636,0.0249126,nan,0.113104,0.386451
82,81.6626,0.024988,1.32145e-05,0.113112,0.386461
83,82.6616,0.0250635,0,0.113104,0.386451
84,83.6605,0.0251398,0,0.113107,0.38646
85,84.6595,0.0252162,7.62939e-06,0.113107,0.38646
86,85.6585,0.0252926,nan,0.113105,0.386454
87,86.6575,0.025369,nan,0.113104,0.38645
88,87.6564,0.0254472,nan,0.113107,0.38646
89,88.6554,0.0255244,0,0.113111,0.386461
90,89.6543,0.0256018,nan,0.113104,0.386449
91,90.6532,0.0256809,nan,0.113111,0.386461
92,91.6522,0.0257601,nan,0.113107,0.386459
93,92.6511,0.0258384,nan,0.113104,0.38645
94,93.65,0.0259184,nan,0.113107,0.386459
95,94.649,0.0259985,nan,0.113107,0.386459
96,95.6479,0.0260786,nan,0.113107,0.386459
97,96.6468,0.0261587,nan,0.113104,0.38645
98,97.6457,0.0262397,7.62939e-06,0.113111,0.386461
99,98.6446,0.0263208,nan,0.113104,0.38645
100,99.6435,0.0264027,nan,0.113104,0.386451
101,100.642,0.0264847,nan,0.113104,0.38645
102,101.641,0.0265666,0,0.113104,0.386449
103,102.64,0.0266505,nan,0.113105,0.386455
104,103.639,0.0267342,nan,0.113113,0.386467
105,104.638,0.0268171,0,0.113111,0.386461
106,105.637,0.0269018,nan,0.113113,0.386467
107,106.636,0.0269857,0,0.113105,0.386453
108,107.634,0.0270704,nan,0.113111,0.38646
109,108.633,0.0271552,0,0.113104,0.386449
110,109.632,0.0272409,nan,0.113104,0.386449
111,110.631,0.0273266,nan,0.113104,0.386449
112,111.63,0.0274141,nan,0.113107,0.386459
113,112.629,0.0275007,nan,0.113111,0.38646
114,113.628,0.0275874,nan,0.113104,0.386449
115,114.626,0.0276749,nan,0.113104,0.386449
116,115.625,0.0277642,nan,0.113113,0.386467
117,116.624,0.0278519,nan,0.113104,0.38645
118,117.623,0.0279413,nan,0.113105,0.386455
119,118.622,0.0280307,0,0.113105,0.386455
120,119.62,0.0281201,0,0.113104,0.386451
121,120.619,0.0282112,0,0.113118,0.386471
122,121.618,0.0283008,1.07896e-05,0.113104,0.386449
123,122.617,0.028392,nan,0.113104,0.386451
124,123.615,0.0284833,nan,0.113104,0.386449
125,124.614,0.0285764,nan,0.113108,0.386462
126,125.613,0.0286677,nan,0.113104,0.386449
127,126.612,0.0287608,0,0.113104,0.38645
128,127.61,0.028854,0,0.113104,0.386449
129,128.609,0.0289488,1.86881e-05,0.113118,0.386471
130,129.608,0.0290421,nan,0.113104,0.38645
131,130.607,0.0291371,0,0.113104,0.38645
132,131.605,0.0292321,1.70598e-05,0.113104,0.38645
133,132.604,0.0293288,7.62939e-06,0.113118,0.38647
134,133.603,0.0294239,0,0.113104,0.38645
135,134.601,0.0295208,nan,0.113105,0.386454
136,135.6,0.0296176,0,0.113105,0.386454
137,136.599,0.0297145,nan,0.113103,0.386449
138,137.597,0.0298132,1.86881e-05,0.113105,0.386454
139,138.596,0.0299119,0,0.113105,0.386454
140,139.595,0.0300107,nan,0.113105,0.386454
141,140.593,0.0301094,1.07896e-05,0.113103,0.386448
142,141.592,0.03021,0,0.113104,0.38645
143,142.591,0.0303105,nan,0.113105,0.386454
144,143.589,0.0304111,nan,0.113104,0.38645
145,144.588,0.0305135,1.52588e-05,0.113108,0.386461
146,145.587,0.0306159,0,0.113117,0.38647
147,146.585,0.0307183,7.62939e-06,0.113117,0.38647
148,147.584,0.0308209,7.62939e-06,0.113108,0.386461
149,148.582,0.030925,nan,0.113117,0.386471
150,149.581,0.0310277,1.52588e-05,0.113103,0.38645
151,150.58,0.0311337,0,0.113117,0.386471
152,151.578,0.0312381,7.62939e-06,0.113107,0.38646
153,152.577,0.0313441,0,0.113117,0.386469
154,153.575,0.0314503,nan,0.113117,0.386469
155,154.574,0.0315566,nan,0.113107,0.38646
156,155.572,0.0316628,0,0.113103,0.386448
157,156.571,0.0317709,1.07896e-05,0.113103,0.386449
158,157.57,0.0318789,1.86881e-05,0.113103,0.386448
159,158.568,0.0319888,0,0.113107,0.38646
160,159.567,0.0320987,0,0.113107,0.38646
161,160.565,0.0322086,1.07896e-05,0.113107,0.38646
162,161.564,0.0323185,1.52588e-05,0.113103,0.386449
163,162.562,0.0324302,1.52588e-05,0.113107,0.38646
164,163.561,0.032542,1.52588e-05,0.113107,0.38646
165,164.559,0.0326537,1.52588e-05,0.113104,0.386453
166,165.558,0.0327672,0,0.113116,0.386468
167,166.556,0.032881,nan,0.113107,0.38646
168,167.554,0.0329946,1.52588e-05,0.113107,0.386459
169,168.553,0.0331082,2.15792e-05,0.113103,0.386447
170,169.551,0.0332237,0,0.113103,0.386449
171,170.55,0.0333409,nan,0.113116,0.386468
172,171.548,0.0334565,nan,0.113107,0.386459
173,172.547,0.0335739,nan,0.113104,0.386453
