total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
0,-0.26717,0.0197866,0,0.107455,0.360712
1,0.732101,0.0198406,9.34406e-06,0.107457,0.360718
2,1.73138,0.0198937,0,0.107455,0.360712
3,2.73066,0.0199476,7.62939e-06,0.107463,0.360724
4,3.72993,0.0200017,nan,0.107463,0.360724
5,4.7292,0.0200557,7.62939e-06,0.107463,0.360724
6,5.72847,0.0201098,0,0.107455,0.360712
7,6.72772,0.0201647,nan,0.107457,0.360718
8,7.72699,0.0202188,5.3948e-06,0.107455,0.360712
9,8.72624,0.0202746,9.34406e-06,0.107457,0.360718
10,9.7255,0.0203296,0,0.107455,0.360713
11,10.7248,0.0203845,0,0.107455,0.360712
12,11.724,0.0204404,0,0.107455,0.360712
13,12.7232,0.0204963,0,0.107455,0.360712
14,13.7225,0.020553,nan,0.107463,0.360724
15,14.7217,0.020609,nan,0.107455,0.360712
16,15.721,0.0206658,nan,0.107455,0.360712
17,16.7202,0.0207226,nan,0.107455,0.360713
18,17.7194,0.0207794,5.3948e-06,0.107455,0.360711
19,18.7186,0.0208372,nan,0.107455,0.360713
20,19.7179,0.0208949,nan,0.107457,0.360718
21,20.7171,0.0209526,0,0.107455,0.360713
22,21.7163,0.0210104,nan,0.107455,0.360712
23,22.7155,0.021069,nan,0.107463,0.360724
24,23.7147,0.0211276,5.3948e-06,0.107463,0.360724
25,24.7139,0.0211855,0,0.107455,0.360711
26,25.7131,0.0212451,5.3948e-06,0.107455,0.360711
27,26.7123,0.0213047,nan,0.107457,0.360718
28,27.7115,0.0213642,7.62939e-06,0.107463,0.360723
29,28.7107,0.0214239,7.62939e-06,0.107457,0.360718
30,29.7099,0.0214835,7.62939e-06,0.107455,0.360711
31,30.7091,0.0215439,1.20631e-05,0.107463,0.360723
32,31.7083,0.0216046,9.34406e-06,0.107455,0.360713
33,32.7075,0.0216651,nan,0.107455,0.360713
34,33.7066,0.0217256,nan,0.107455,0.360711
35,34.7058,0.0217871,7.62939e-06,0.107455,0.360711
36,35.705,0.0218486,nan,0.107455,0.360711
37,36.7041,0.0219109,nan,0.107462,0.360723
38,37.7033,0.0219733,7.62939e-06,0.107463,0.360723
39,38.7025,0.0220348,5.3948e-06,0.107455,0.360711
40,39.7016,0.0220981,nan,0.107457,0.360717
41,40.7008,0.0221606,nan,0.107455,0.360713
42,41.6999,0.0222239,0,0.107457,0.360717
43,42.6991,0.0222872,nan,0.107457,0.360717
44,43.6982,0.0223514,7.62939e-06,0.107463,0.360723
45,44.6973,0.0224148,7.62939e-06,0.107455,0.360711
46,45.6965,0.0224791,7.62939e-06,0.107457,0.360717
47,46.6956,0.0225433,0,0.107455,0.360711
48,47.6947,0.0226085,0,0.107455,0.360713
49,48.6938,0.0226737,1.07896e-05,0.107457,0.360717
50,49.693,0.0227389,nan,0.107455,0.360713
51,50.6921,0.0228041,0,0.107455,0.360711
52,51.6912,0.0228702,nan,0.107457,0.360717
53,52.6903,0.0229363,1.07896e-05,0.107455,0.360711
54,53.6894,0.0230033,7.62939e-06,0.107462,0.360723
55,54.6885,0.0230695,0,0.107457,0.360717
56,55.6876,0.0231366,nan,0.107457,0.360717
57,56.6867,0.0232045,nan,0.107462,0.360723
58,57.6858,0.0232716,7.62939e-06,0.107455,0.360711
59,58.6849,0.0233396,0,0.107457,0.360717
60,59.6839,0.0234076,7.62939e-06,0.107455,0.360711
61,60.683,0.0234765,0,0.107455,0.360712
62,61.6821,0.0235454,0,0.107455,0.360712
63,62.6811,0.0236143,1.32145e-05,0.107455,0.360711
64,63.6802,0.0236833,nan,0.107454,0.360711
65,64.6793,0.023754,0,0.107457,0.360717
66,65.6783,0.023823,0,0.107454,0.360711
67,66.6774,0.0238937,0,0.107455,0.360711
68,67.6764,0.0239645,nan,0.107455,0.360711
