total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
0,-0.26717,0.0197866,nan,0.313406,0.534153
1,0.732101,0.0198406,7.62939e-06,0.31341,0.53416
2,1.73138,0.0198937,nan,0.313406,0.534153
3,2.73066,0.0199475,0,0.313424,0.534163
4,3.72993,0.0200015,nan,0.313424,0.534163
5,4.7292,0.0200555,nan,0.313425,0.534163
6,5.72847,0.0201098,nan,0.313406,0.534153
7,6.72772,0.0201647,0,0.31341,0.53416
8,7.72699,0.0202188,nan,0.313405,0.534153
9,8.72624,0.0202746,9.34406e-06,0.31341,0.53416
10,9.7255,0.0203296,7.62939e-06,0.313406,0.534154
11,10.7248,0.0203845,nan,0.313405,0.534153
12,11.724,0.0204404,9.34406e-06,0.313405,0.534153
13,12.7232,0.0204963,7.62939e-06,0.313405,0.534153
14,13.7225,0.0205528,nan,0.313424,0.534163
15,14.7217,0.020609,nan,0.313405,0.534153
16,15.721,0.0206658,nan,0.313405,0.534153
17,16.7202,0.0207226,0,0.313406,0.534154
18,17.7194,0.0207794,5.3948e-06,0.313405,0.534153
19,18.7186,0.0208371,5.3948e-06,0.313406,0.534154
20,19.7179,0.0208949,5.3948e-06,0.31341,0.534159
21,20.7171,0.0209526,0,0.313406,0.534153
22,21.7163,0.0210104,nan,0.313405,0.534153
23,22.7155,0.0210688,7.62939e-06,0.313424,0.534163
24,23.7147,0.0211275,0,0.313424,0.534163
25,24.7139,0.0211855,nan,0.313405,0.534153
26,25.7131,0.0212451,0,0.313405,0.534153
27,26.7123,0.0213046,7.62939e-06,0.31341,0.534159
28,27.7115,0.021364,5.3948e-06,0.313424,0.534163
29,28.7107,0.0214239,nan,0.31341,0.534159
30,29.7099,0.0214835,1.07896e-05,0.313405,0.534153
31,30.7091,0.0215438,7.62939e-06,0.313423,0.534163
32,31.7083,0.0216046,5.3948e-06,0.313406,0.534153
33,32.7075,0.0216651,nan,0.313406,0.534153
34,33.7066,0.0217256,7.62939e-06,0.313405,0.534152
35,34.7058,0.0217871,7.62939e-06,0.313405,0.534152
36,35.705,0.0218486,nan,0.313405,0.534152
37,36.7042,0.0219107,5.3948e-06,0.313423,0.534162
38,37.7033,0.0219731,nan,0.313423,0.534163
39,38.7025,0.0220348,0,0.313405,0.534152
40,39.7016,0.0220981,7.62939e-06,0.313409,0.534159
41,40.7008,0.0221606,7.62939e-06,0.313405,0.534153
42,41.6999,0.0222239,0,0.313409,0.534159
43,42.6991,0.0222872,1.07896e-05,0.313409,0.534159
44,43.6982,0.0223512,1.32145e-05,0.313423,0.534163
45,44.6973,0.0224148,0,0.313405,0.534152
46,45.6965,0.022479,0,0.313409,0.534159
47,46.6956,0.0225433,0,0.313405,0.534152
48,47.6947,0.0226085,nan,0.313405,0.534153
49,48.6938,0.0226737,nan,0.313409,0.534159
50,49.693,0.0227389,nan,0.313405,0.534153
51,50.6921,0.0228041,0,0.313405,0.534152
52,51.6912,0.0228702,7.62939e-06,0.313409,0.534159
53,52.6903,0.0229363,7.62939e-06,0.313405,0.534152
54,53.6894,0.0230031,0,0.313422,0.534162
55,54.6885,0.0230695,nan,0.313409,0.534159
56,55.6876,0.0231366,nan,0.313409,0.534159
57,56.6867,0.0232043,0,0.313423,0.534162
58,57.6858,0.0232716,1.32145e-05,0.313405,0.534152
59,58.6849,0.0233396,0,0.313409,0.534159
60,59.6839,0.0234076,nan,0.313405,0.534152
61,60.683,0.0234765,1.07896e-05,0.313405,0.534153
62,61.6821,0.0235454,1.07896e-05,0.313405,0.534153
63,62.6811,0.0236144,nan,0.313405,0.534152
64,63.6802,0.0236833,nan,0.313405,0.534152
65,64.6793,0.023754,7.62939e-06,0.313409,0.534159
66,65.6783,0.023823,nan,0.313405,0.534152
67,66.6774,0.0238938,nan,0.313405,0.534152
68,67.6764,0.0239645,nan,0.313405,0.534152
69,68.6755,0.0240353,nan,0.313405,0.534152
70,69.6745,0.0241068,nan,0.313422,0.534162
71,70.6735,0.0241787,nan,0.313405,0.534153
72,71.6726,0.0242504,0,0.313409,0.534158
73,72.6716,0.0243222,1.07896e-05,0.313405,0.534152
74,73.6706,0.0243948,0,0.313405,0.534152
75,74.6696,0.0244681,1.52588e-05,0.313422,0.534162
76,75.6686,0.0245419,nan,0.313409,0.534158
77,76.6676,0.0246146,7.62939e-06,0.313404,0.534152
78,77.6666,0.0246891,0,0.313405,0.534153
79,78.6656,0.0247636,1.07896e-05,0.313409,0.534158
80,79.6646,0.0248381,1.07896e-05,0.313409,0.534158
81,80.6636,0.0249126,1.32145e-05,0.313404,0.534152
82,81.6626,0.0249878,0,0.313421,0.534161
