total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
0,-0.26717,0.0197866,nan,0.311369,0.52865
1,0.732101,0.0198406,7.62939e-06,0.311373,0.528657
2,1.73138,0.0198937,5.3948e-06,0.311369,0.52865
3,2.73066,0.0199475,0,0.311387,0.528661
4,3.72993,0.0200015,7.62939e-06,0.311387,0.528661
5,4.7292,0.0200555,nan,0.311387,0.528661
6,5.72847,0.0201098,0,0.311369,0.52865
7,6.72772,0.0201647,1.07896e-05,0.311373,0.528657
8,7.72699,0.0202188,nan,0.311368,0.52865
9,8.72624,0.0202746,nan,0.311373,0.528657
10,9.7255,0.0203296,nan,0.311369,0.528651
11,10.7248,0.0203845,0,0.311368,0.52865
12,11.724,0.0204404,nan,0.311368,0.52865
13,12.7232,0.0204963,0,0.311368,0.52865
14,13.7225,0.0205528,nan,0.311387,0.528661
15,14.7217,0.020609,1.20631e-05,0.311368,0.52865
16,15.721,0.0206658,1.07896e-05,0.311368,0.52865
17,16.7202,0.0207226,9.34406e-06,0.311369,0.528651
18,17.7194,0.0207794,9.34406e-06,0.311368,0.52865
19,18.7186,0.0208371,5.3948e-06,0.311369,0.528651
20,19.7179,0.0208949,1.07896e-05,0.311373,0.528657
21,20.7171,0.0209526,7.62939e-06,0.311369,0.528651
22,21.7163,0.0210104,1.07896e-05,0.311368,0.52865
23,22.7155,0.0210688,7.62939e-06,0.311387,0.52866
24,23.7147,0.0211275,5.3948e-06,0.311387,0.52866
25,24.7139,0.0211855,7.62939e-06,0.311368,0.52865
26,25.7131,0.0212451,0,0.311368,0.52865
27,26.7123,0.0213046,7.62939e-06,0.311373,0.528656
28,27.7115,0.021364,9.34406e-06,0.311386,0.52866
29,28.7107,0.0214239,0,0.311372,0.528656
30,29.7099,0.0214835,9.34406e-06,0.311368,0.52865
31,30.7091,0.0215438,1.20631e-05,0.311386,0.52866
32,31.7083,0.0216046,nan,0.311368,0.528651
33,32.7075,0.0216651,1.07896e-05,0.311368,0.528651
34,33.7066,0.0217256,9.34406e-06,0.311368,0.52865
35,34.7058,0.0217871,7.62939e-06,0.311368,0.52865
36,35.705,0.0218486,nan,0.311368,0.52865
37,36.7042,0.0219107,7.62939e-06,0.311386,0.52866
38,37.7033,0.0219731,nan,0.311386,0.52866
39,38.7025,0.0220348,5.3948e-06,0.311368,0.52865
40,39.7016,0.0220981,7.62939e-06,0.311372,0.528656
41,40.7008,0.0221606,7.62939e-06,0.311368,0.52865
42,41.6999,0.0222239,7.62939e-06,0.311372,0.528656
43,42.6991,0.0222872,7.62939e-06,0.311372,0.528656
44,43.6982,0.0223512,7.62939e-06,0.311386,0.52866
45,44.6973,0.0224148,1.07896e-05,0.311368,0.52865
46,45.6965,0.022479,7.62939e-06,0.311372,0.528656
47,46.6956,0.0225433,7.62939e-06,0.311368,0.52865
48,47.6947,0.0226085,nan,0.311368,0.52865
49,48.6938,0.0226737,0,0.311372,0.528656
50,49.693,0.0227389,1.32145e-05,0.311368,0.52865
51,50.6921,0.0228041,7.62939e-06,0.311368,0.52865
52,51.6912,0.0228702,7.62939e-06,0.311372,0.528656
53,52.6903,0.0229363,0,0.311368,0.52865
54,53.6894,0.0230031,7.62939e-06,0.311385,0.52866
55,54.6885,0.0230695,nan,0.311372,0.528656
56,55.6876,0.0231366,0,0.311372,0.528656
57,56.6867,0.0232043,0,0.311385,0.52866
58,57.6858,0.0232716,1.32145e-05,0.311368,0.52865
59,58.6849,0.0233396,7.62939e-06,0.311372,0.528656
60,59.6839,0.0234076,nan,0.311368,0.52865
61,60.683,0.0234765,1.07896e-05,0.311368,0.52865
62,61.6821,0.0235454,1.32145e-05,0.311368,0.52865
63,62.6811,0.0236143,7.62939e-06,0.311368,0.52865
64,63.6802,0.0236833,0,0.311368,0.52865
65,64.6793,0.023754,1.32145e-05,0.311372,0.528656
66,65.6783,0.023823,7.62939e-06,0.311368,0.52865
67,66.6774,0.0238937,nan,0.311368,0.52865
68,67.6764,0.0239645,0,0.311368,0.52865
69,68.6755,0.0240353,0,0.311368,0.52865
70,69.6745,0.0241068,7.62939e-06,0.311385,0.528659
71,70.6735,0.0241787,1.07896e-05,0.311368,0.52865
72,71.6726,0.0242504,0,0.311372,0.528656
73,72.6716,0.0243222,1.52588e-05,0.311368,0.52865
74,73.6706,0.0243948,1.07896e-05,0.311368,0.52865
75,74.6696,0.0244681,0,0.311385,0.528659
76,75.6686,0.0245419,1.32145e-05,0.311372,0.528656
77,76.6676,0.0246146,1.07896e-05,0.311367,0.52865
78,77.6666,0.0246891,1.07896e-05,0.311368,0.52865
79,78.6656,0.0247636,1.32145e-05,0.311371,0.528655
80,79.6646,0.0248381,1.07896e-05,0.311371,0.528655
81,80.6636,0.0249126,1.07896e-05,0.311367,0.52865
82,81.6626,0.0249878,nan,0.311384,0.528659
83,82.6616,0.0250635,nan,0.311367,0.52865
84,83.6605,0.0251398,7.62939e-06,0.311372,0.528656
85,84.6595,0.0252162,0,0.311372,0.528656
86,85.6585,0.0252926,nan,0.311368,0.52865
87,86.6575,0.025369,0,0.311367,0.528649
88,87.6564,0.0254472,nan,0.311371,0.528656
89,88.6554,0.0255242,1.32145e-05,0.311384,0.528659
90,89.6543,0.0256018,7.62939e-06,0.311367,0.528649
91,90.6532,0.0256807,0,0.311384,0.528658
92,91.6522,0.0257601,7.62939e-06,0.311371,0.528656
93,92.6511,0.0258383,1.07896e-05,0.311367,0.528649
94,93.65,0.0259184,nan,0.311371,0.528656
95,94.649,0.0259985,1.32145e-05,0.311371,0.528656
96,95.6479,0.0260786,7.62939e-06,0.311371,0.528656
97,96.6468,0.0261587,1.07896e-05,0.311367,0.528649
98,97.6457,0.0262395,0,0.311383,0.528658
99,98.6446,0.0263208,7.62939e-06,0.311367,0.528649
100,99.6435,0.0264027,1.07896e-05,0.311367,0.528649
101,100.642,0.0264847,7.62939e-06,0.311367,0.528649
102,101.641,0.0265666,1.52588e-05,0.311367,0.528649
103,102.64,0.0266505,1.07896e-05,0.311368,0.52865
104,103.639,0.026734,7.62939e-06,0.311387,0.528664
105,104.638,0.0268169,1.32145e-05,0.311383,0.528658
106,105.637,0.0269016,1.32145e-05,0.311387,0.528664
107,106.636,0.0269857,7.62939e-06,0.311367,0.52865
108,107.634,0.0270702,7.62939e-06,0.311383,0.528658
109,108.633,0.0271552,7.62939e-06,0.311367,0.528649
110,109.632,0.0272409,nan,0.311367,0.528649
111,110.631,0.0273266,nan,0.311367,0.528649
112,111.63,0.0274141,nan,0.311371,0.528655
113,112.629,0.0275005,nan,0.311383,0.528658
114,113.628,0.0275874,nan,0.311367,0.528649
115,114.626,0.0276749,nan,0.311367,0.528649
116,115.625,0.027764,nan,0.311386,0.528663
117,116.624,0.0278519,7.62939e-06,0.311367,0.528649
118,117.623,0.0279413,7.62939e-06,0.311367,0.52865
119,118.622,0.0280307,nan,0.311367,0.52865
120,119.62,0.0281201,1.07896e-05,0.311367,0.528649
121,120.619,0.0282108,7.62939e-06,0.311398,0.528666
122,121.618,0.0283008,7.62939e-06,0.311367,0.528649
123,122.617,0.028392,nan,0.311367,0.528649
124,123.615,0.0284833,nan,0.311367,0.528649
125,124.614,0.0285764,nan,0.311374,0.52866
126,125.613,0.0286677,nan,0.311367,0.528649
127,126.612,0.0287608,nan,0.311366,0.528649
128,127.61,0.028854,0,0.311367,0.528649
129,128.609,0.0289484,nan,0.311398,0.528666
130,129.608,0.0290421,7.62939e-06,0.311366,0.528649
131,130.607,0.0291371,7.62939e-06,0.311366,0.528649
132,131.605,0.0292321,nan,0.311366,0.528649
133,132.604,0.0293284,0,0.311397,0.528666
134,133.603,0.0294239,7.62939e-06,0.311366,0.528649
135,134.601,0.0295208,0,0.311367,0.528649
136,135.6,0.0296176,nan,0.311367,0.528649
137,136.599,0.0297145,nan,0.311366,0.528649
138,137.597,0.0298132,nan,0.311366,0.528649
139,138.596,0.0299119,0,0.311366,0.528649
140,139.595,0.0300107,nan,0.311366,0.528649
141,140.593,0.0301094,nan,0.311366,0.528648
142,141.592,0.03021,0,0.311366,0.528648
143,142.591,0.0303106,nan,0.311366,0.528649
144,143.589,0.0304111,nan,0.311366,0.528648
145,144.588,0.0305135,nan,0.311373,0.528659
146,145.587,0.0306155,0,0.311396,0.528665
147,146.585,0.030718,nan,0.311396,0.528665
148,147.584,0.0308209,nan,0.311373,0.528659
149,148.582,0.0309247,nan,0.311396,0.528665
150,149.581,0.0310277,7.62939e-06,0.311366,0.528648
151,150.58,0.0311333,1.86881e-05,0.311396,0.528665
152,151.578,0.0312381,1.32145e-05,0.311373,0.528659
153,152.577,0.0313438,nan,0.311396,0.528665
154,153.575,0.03145,1.52588e-05,0.311396,0.528665
155,154.574,0.0315566,1.07896e-05,0.311373,0.528659
156,155.572,0.0316628,1.07896e-05,0.311366,0.528648
157,156.571,0.0317709,1.07896e-05,0.311366,0.528648
158,157.57,0.0318789,0,0.311366,0.528648
159,158.568,0.0319887,nan,0.311373,0.528658
160,159.567,0.0320986,nan,0.311373,0.528658
161,160.565,0.0322085,1.52588e-05,0.311373,0.528658
162,161.564,0.0323185,nan,0.311365,0.528648
163,162.562,0.0324302,nan,0.311372,0.528658
164,163.561,0.0325419,nan,0.311372,0.528658
165,164.559,0.0326538,1.07896e-05,0.311366,0.528649
166,165.558,0.0327669,0,0.311395,0.528664
167,166.556,0.0328809,nan,0.311372,0.528658
168,167.554,0.0329946,nan,0.311372,0.528658
169,168.553,0.0331082,nan,0.311365,0.528648
170,169.551,0.0332237,nan,0.311365,0.528648
171,170.55,0.0333406,nan,0.311394,0.528664
172,171.548,0.0334565,1.07896e-05,0.311372,0.528658
173,172.547,0.0335739,nan,0.311365,0.528648
174,173.545,0.0336912,nan,0.311372,0.528658
175,174.543,0.0338099,nan,0.311394,0.528664
176,175.542,0.0339278,0,0.311365,0.528648
177,176.54,0.0340484,0,0.311394,0.528664
178,177.539,0.0341681,0,0.311365,0.528648
179,178.537,0.0342892,nan,0.311365,0.528648
180,179.535,0.0344116,nan,0.311394,0.528664
181,180.534,0.0345326,nan,0.311393,0.528663
182,181.532,0.0346556,0,0.311393,0.528663
183,182.53,0.034779,nan,0.311371,0.528657
184,183.529,0.0349038,1.52588e-05,0.311371,0.528657
185,184.527,0.0350281,1.52588e-05,0.311393,0.528663
186,185.525,0.0351534,nan,0.311365,0.528648
187,186.524,0.03528,nan,0.311371,0.528657
188,187.522,0.0354067,1.52588e-05,0.311371,0.528657
189,188.52,0.0355334,1.52588e-05,0.311365,0.528648
190,189.518,0.0356614,nan,0.311393,0.528663
191,190.517,0.0357904,0,0.311365,0.528648
192,191.515,0.0359208,nan,0.311371,0.528658
193,192.513,0.0360512,1.07896e-05,0.311371,0.528658
194,193.511,0.0361816,nan,0.311371,0.528657
195,194.51,0.036312,nan,0.311364,0.528647
196,195.508,0.036446,1.86881e-05,0.311371,0.528658
197,196.506,0.0365783,nan,0.311371,0.528657
198,197.504,0.0367119,nan,0.311392,0.528662
199,198.502,0.0368465,0,0.31137,0.528657
200,199.501,0.0369825,nan,0.31137,0.528657
201,200.499,0.037118,nan,0.311392,0.528662
202,201.497,0.0372545,1.07896e-05,0.311364,0.528648
203,202.495,0.0373923,0,0.311364,0.528647
204,203.493,0.0375302,nan,0.311364,0.528647
205,204.491,0.0376698,1.52588e-05,0.31137,0.528656
206,205.489,0.0378096,1.07896e-05,0.311364,0.528647
207,206.488,0.0379511,nan,0.31137,0.528657
208,207.486,0.0380926,0,0.31137,0.528657
209,208.484,0.0382342,0,0.31137,0.528656
210,209.482,0.0383771,1.07896e-05,0.311391,0.528661
211,210.48,0.038521,0,0.31137,0.528657
212,211.478,0.0386663,1.52588e-05,0.31137,0.528657
213,212.476,0.0388116,nan,0.31137,0.528657
214,213.474,0.0389569,1.52588e-05,0.311364,0.528647
215,214.472,0.0391049,nan,0.311417,0.528676
216,215.47,0.0392512,nan,0.311363,0.528646
217,216.468,0.0394002,0,0.311363,0.528647
218,217.466,0.0395493,1.52588e-05,0.311363,0.528646
219,218.464,0.0397014,0,0.311396,0.52867
220,219.462,0.039851,0,0.311363,0.528646
221,220.46,0.0400037,nan,0.311363,0.528647
222,221.458,0.0401565,nan,0.311363,0.528646
223,222.456,0.0403124,1.52588e-05,0.311396,0.52867
224,223.454,0.0404657,nan,0.311363,0.528647
225,224.451,0.0406221,0,0.311369,0.528656
226,225.449,0.0407785,0,0.311369,0.528656
227,226.447,0.0409351,nan,0.311363,0.528646
228,227.445,0.0410951,1.07896e-05,0.311375,0.528664
229,228.443,0.0412544,2.15792e-05,0.311415,0.528675
230,229.441,0.0414146,1.86881e-05,0.311415,0.528675
231,230.439,0.0415757,1.86881e-05,0.311374,0.528664
232,231.436,0.041736,1.52588e-05,0.311362,0.528646
233,232.434,0.0418999,1.07896e-05,0.311363,0.528647
234,233.432,0.0420638,0,0.311362,0.528646
235,234.43,0.0422291,1.86881e-05,0.311388,0.52866
236,235.428,0.0423953,1.07896e-05,0.311368,0.528655
237,236.425,0.0425629,nan,0.311374,0.528663
238,237.423,0.0427305,0,0.311374,0.528663
239,238.421,0.0428983,1.07896e-05,0.311362,0.528646
240,239.418,0.0430695,1.07896e-05,0.311374,0.528663
241,240.416,0.0432404,2.15792e-05,0.311393,0.528668
242,241.414,0.0434123,2.41263e-05,0.311374,0.528663
243,242.412,0.0435838,1.07896e-05,0.311362,0.528645
244,243.409,0.0437588,1.52588e-05,0.311362,0.528646
245,244.407,0.0439339,1.52588e-05,0.311368,0.528654
246,245.404,0.044109,nan,0.311361,0.528646
247,246.402,0.0442877,nan,0.311373,0.528662
248,247.4,0.0444661,1.52588e-05,0.311392,0.528667
249,248.397,0.0446453,1.52588e-05,0.311373,0.528662
250,249.395,0.0448243,1.52588e-05,0.311362,0.528646
251,250.392,0.0450067,1.52588e-05,0.311373,0.528662
252,251.39,0.0451892,0,0.311373,0.528662
253,252.387,0.0453719,1.52588e-05,0.311361,0.528646
254,253.385,0.045558,1.52588e-05,0.311372,0.528662
