total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
0,-0.26717,0.0197866,nan,0.117797,0.388046
1,0.732101,0.0198406,0,0.1178,0.388054
2,1.73138,0.0198937,5.3948e-06,0.117797,0.388047
3,2.73066,0.0199476,0,0.117806,0.38806
4,3.72993,0.0200017,5.3948e-06,0.117806,0.38806
5,4.7292,0.0200557,0,0.117806,0.38806
6,5.72847,0.0201098,nan,0.117797,0.388047
7,6.72772,0.0201647,nan,0.1178,0.388054
8,7.72699,0.0202188,nan,0.117797,0.388046
9,8.72624,0.0202746,nan,0.1178,0.388054
10,9.7255,0.0203296,nan,0.117798,0.388048
11,10.7248,0.0203845,nan,0.117797,0.388046
12,11.724,0.0204404,nan,0.117797,0.388046
13,12.7232,0.0204963,0,0.117797,0.388046
14,13.7225,0.020553,nan,0.117806,0.38806
15,14.7217,0.020609,nan,0.117797,0.388047
16,15.721,0.0206658,nan,0.117797,0.388047
17,16.7202,0.0207226,nan,0.117798,0.388048
18,17.7194,0.0207794,nan,0.117797,0.388046
19,18.7186,0.0208372,nan,0.117798,0.388048
20,19.7179,0.0208949,nan,0.1178,0.388054
21,20.7171,0.0209526,nan,0.117798,0.388048
22,21.7163,0.0210104,nan,0.117797,0.388047
23,22.7155,0.021069,nan,0.117806,0.388059
24,23.7147,0.0211276,nan,0.117806,0.388059
25,24.7139,0.0211855,5.3948e-06,0.117797,0.388046
26,25.7131,0.0212451,nan,0.117797,0.388047
27,26.7123,0.0213047,nan,0.1178,0.388054
28,27.7115,0.0213642,9.34406e-06,0.117806,0.388059
29,28.7107,0.0214239,nan,0.1178,0.388054
30,29.7099,0.0214835,nan,0.117797,0.388047
31,30.7091,0.0215439,nan,0.117806,0.388059
32,31.7083,0.0216046,0,0.117798,0.388048
33,32.7075,0.0216651,nan,0.117798,0.388048
34,33.7066,0.0217256,5.3948e-06,0.117797,0.388046
35,34.7058,0.0217871,nan,0.117797,0.388046
36,35.705,0.0218486,5.3948e-06,0.117797,0.388046
37,36.7041,0.0219109,0,0.117806,0.388059
38,37.7033,0.0219733,nan,0.117806,0.388059
39,38.7025,0.0220348,5.3948e-06,0.117797,0.388046
40,39.7016,0.0220981,nan,0.1178,0.388054
41,40.7008,0.0221606,0,0.117797,0.388048
42,41.6999,0.0222239,nan,0.1178,0.388054
43,42.6991,0.0222872,1.07896e-05,0.1178,0.388054
44,43.6982,0.0223514,1.07896e-05,0.117806,0.388059
45,44.6973,0.0224148,0,0.117797,0.388046
46,45.6965,0.0224791,0,0.1178,0.388054
47,46.6956,0.0225433,nan,0.117797,0.388046
48,47.6947,0.0226085,nan,0.117797,0.388048
49,48.6938,0.0226737,nan,0.1178,0.388054
50,49.693,0.0227389,nan,0.117797,0.388048
51,50.6921,0.0228041,nan,0.117797,0.388046
52,51.6912,0.0228702,nan,0.1178,0.388053
53,52.6903,0.0229363,0,0.117797,0.388046
54,53.6894,0.0230033,nan,0.117805,0.388059
55,54.6885,0.0230695,nan,0.1178,0.388053
56,55.6876,0.0231366,0,0.1178,0.388053
57,56.6867,0.0232045,nan,0.117805,0.388059
58,57.6858,0.0232716,1.07896e-05,0.117797,0.388046
59,58.6849,0.0233396,nan,0.1178,0.388053
60,59.6839,0.0234076,nan,0.117797,0.388046
61,60.683,0.0234765,nan,0.117797,0.388047
62,61.6821,0.0235454,nan,0.117797,0.388047
63,62.6811,0.0236144,nan,0.117797,0.388046
64,63.6802,0.0236833,7.62939e-06,0.117797,0.388046
65,64.6793,0.023754,7.62939e-06,0.1178,0.388053
66,65.6783,0.023823,0,0.117797,0.388046
67,66.6774,0.0238937,nan,0.117797,0.388046
68,67.6764,0.0239645,7.62939e-06,0.117797,0.388046
69,68.6755,0.0240353,1.07896e-05,0.117797,0.388046
70,69.6745,0.0241069,nan,0.117805,0.388058
71,70.6735,0.0241787,nan,0.117797,0.388047
72,71.6726,0.0242504,0,0.1178,0.388053
73,72.6716,0.0243222,nan,0.117797,0.388045
74,73.6706,0.0243948,0,0.117797,0.388046
75,74.6696,0.0244683,0,0.117805,0.388058
76,75.6686,0.0245419,nan,0.1178,0.388053
77,76.6676,0.0246146,nan,0.117797,0.388045
78,77.6666,0.0246891,0,0.117797,0.388047
79,78.6656,0.0247636,nan,0.1178,0.388053
80,79.6646,0.0248381,nan,0.1178,0.388053
81,80.6636,0.0249126,7.62939e-06,0.117797,0.388046
82,81.6626,0.024988,nan,0.117805,0.388057
83,82.6616,0.0250635,0,0.117797,0.388046
84,83.6605,0.0251398,nan,0.1178,0.388054
85,84.6595,0.0252162,0,0.1178,0.388054
86,85.6585,0.0252926,nan,0.117797,0.388047
87,86.6575,0.025369,7.62939e-06,0.117797,0.388045
88,87.6564,0.0254472,nan,0.1178,0.388054
89,88.6554,0.0255244,0,0.117804,0.388057
90,89.6543,0.0256018,7.62939e-06,0.117797,0.388045
91,90.6532,0.0256809,1.07896e-05,0.117804,0.388057
92,91.6522,0.0257601,nan,0.1178,0.388054
93,92.6511,0.0258383,nan,0.117797,0.388045
94,93.65,0.0259184,0,0.1178,0.388054
95,94.649,0.0259985,nan,0.1178,0.388054
96,95.6479,0.0260786,nan,0.1178,0.388054
97,96.6468,0.0261587,0,0.117797,0.388046
98,97.6457,0.0262397,1.07896e-05,0.117804,0.388057
99,98.6446,0.0263208,nan,0.117797,0.388045
100,99.6435,0.0264027,nan,0.117797,0.388046
101,100.642,0.0264847,nan,0.117797,0.388045
102,101.641,0.0265666,0,0.117796,0.388045
103,102.64,0.0266505,7.62939e-06,0.117797,0.388048
104,103.639,0.0267342,0,0.117807,0.388063
105,104.638,0.0268171,nan,0.117804,0.388056
106,105.637,0.0269018,0,0.117807,0.388063
107,106.636,0.0269857,7.62939e-06,0.117797,0.388047
108,107.634,0.0270704,nan,0.117804,0.388056
109,108.633,0.0271552,nan,0.117796,0.388045
110,109.632,0.0272409,7.62939e-06,0.117796,0.388045
111,110.631,0.0273266,nan,0.117796,0.388045
112,111.63,0.0274141,0,0.117799,0.388053
113,112.629,0.0275007,nan,0.117804,0.388056
114,113.628,0.0275874,0,0.117796,0.388045
115,114.626,0.0276749,nan,0.117796,0.388045
116,115.625,0.0277642,nan,0.117807,0.388063
117,116.624,0.0278519,nan,0.117796,0.388045
118,117.623,0.0279413,1.07896e-05,0.117797,0.388048
119,118.622,0.0280307,0,0.117797,0.388048
120,119.62,0.0281201,7.62939e-06,0.117796,0.388045
121,120.619,0.0282112,0,0.117811,0.388067
122,121.618,0.0283008,7.62939e-06,0.117796,0.388045
123,122.617,0.028392,7.62939e-06,0.117796,0.388045
124,123.615,0.0284833,0,0.117796,0.388045
125,124.614,0.0285764,0,0.117801,0.388058
126,125.613,0.0286677,7.62939e-06,0.117796,0.388045
127,126.612,0.0287608,7.62939e-06,0.117796,0.388045
