total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
0,-0.26717,0.0197866,0,0.104212,0.356569
1,0.732101,0.0198406,1.07896e-05,0.104214,0.356575
2,1.73138,0.0198937,5.3948e-06,0.104212,0.356569
3,2.73066,0.0199477,7.62939e-06,0.10422,0.356581
4,3.72993,0.0200017,5.3948e-06,0.10422,0.356581
5,4.7292,0.0200557,7.62939e-06,0.10422,0.356581
6,5.72847,0.0201098,nan,0.104212,0.356569
7,6.72772,0.0201647,7.62939e-06,0.104214,0.356575
8,7.72699,0.0202188,0,0.104212,0.356569
9,8.72624,0.0202746,0,0.104214,0.356575
10,9.7255,0.0203296,1.07896e-05,0.104213,0.356571
11,10.7248,0.0203845,nan,0.104212,0.356569
12,11.724,0.0204404,0,0.104212,0.356569
13,12.7232,0.0204963,5.3948e-06,0.104212,0.356569
14,13.7225,0.020553,5.3948e-06,0.10422,0.356581
15,14.7217,0.020609,nan,0.104212,0.356569
16,15.721,0.0206658,nan,0.104212,0.356569
17,16.7202,0.0207226,0,0.104213,0.356571
18,17.7194,0.0207794,nan,0.104212,0.356568
19,18.7186,0.0208371,nan,0.104213,0.356571
20,19.7179,0.0208949,nan,0.104214,0.356574
21,20.7171,0.0209526,nan,0.104213,0.356571
22,21.7163,0.0210104,nan,0.104212,0.356569
23,22.7155,0.021069,nan,0.10422,0.35658
24,23.7147,0.0211276,0,0.10422,0.356581
25,24.7139,0.0211855,nan,0.104212,0.356568
26,25.7131,0.0212451,nan,0.104212,0.356569
27,26.7123,0.0213047,nan,0.104214,0.356574
28,27.7115,0.0213642,nan,0.10422,0.35658
29,28.7107,0.0214239,5.3948e-06,0.104214,0.356574
30,29.7099,0.0214835,nan,0.104212,0.356569
31,30.7091,0.0215439,0,0.10422,0.35658
32,31.7083,0.0216046,7.62939e-06,0.104212,0.356571
33,32.7075,0.0216651,7.62939e-06,0.104212,0.356571
34,33.7066,0.0217256,9.34406e-06,0.104212,0.356568
35,34.7058,0.0217871,nan,0.104212,0.356568
36,35.705,0.0218486,nan,0.104212,0.356568
37,36.7041,0.0219109,1.20631e-05,0.104219,0.35658
38,37.7033,0.0219733,5.3948e-06,0.104219,0.35658
39,38.7025,0.0220348,0,0.104212,0.356568
40,39.7016,0.0220981,0,0.104214,0.356574
41,40.7008,0.0221606,7.62939e-06,0.104212,0.35657
42,41.6999,0.0222239,0,0.104214,0.356574
43,42.6991,0.0222872,0,0.104214,0.356574
44,43.6982,0.0223514,1.07896e-05,0.10422,0.35658
45,44.6973,0.0224148,1.07896e-05,0.104212,0.356569
46,45.6965,0.0224791,7.62939e-06,0.104214,0.356574
47,46.6956,0.0225433,0,0.104212,0.356568
48,47.6947,0.0226085,nan,0.104212,0.35657
