total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
0,-0.26717,0.0197866,7.62939e-06,0.318477,0.548924
1,0.732101,0.0198406,5.3948e-06,0.318482,0.548931
2,1.73138,0.0198937,7.62939e-06,0.318477,0.548924
3,2.73066,0.0199475,5.3948e-06,0.318496,0.548934
4,3.72993,0.0200015,5.3948e-06,0.318496,0.548934
5,4.7292,0.0200555,nan,0.318496,0.548935
6,5.72847,0.0201098,0,0.318477,0.548924
7,6.72773,0.0201647,1.20631e-05,0.318482,0.548931
8,7.72699,0.0202188,7.62939e-06,0.318477,0.548923
9,8.72624,0.0202746,1.20631e-05,0.318482,0.548931
10,9.7255,0.0203296,0,0.318477,0.548926
11,10.7248,0.0203845,7.62939e-06,0.318477,0.548923
12,11.724,0.0204404,1.20631e-05,0.318477,0.548923
13,12.7232,0.0204963,1.07896e-05,0.318476,0.548923
14,13.7225,0.0205528,0,0.318496,0.548934
15,14.7217,0.020609,7.62939e-06,0.318477,0.548924
16,15.721,0.0206658,5.3948e-06,0.318477,0.548924
17,16.7202,0.0207226,5.3948e-06,0.318477,0.548926
18,17.7194,0.0207794,1.07896e-05,0.318476,0.548923
19,18.7186,0.0208371,nan,0.318477,0.548926
20,19.7179,0.0208949,nan,0.318481,0.548931
21,20.7171,0.0209526,0,0.318477,0.548925
22,21.7163,0.0210104,0,0.318477,0.548924
23,22.7155,0.0210688,5.3948e-06,0.318495,0.548934
24,23.7147,0.0211275,nan,0.318495,0.548934
25,24.7139,0.0211855,0,0.318476,0.548923
26,25.7131,0.0212451,1.07896e-05,0.318477,0.548924
27,26.7123,0.0213046,9.34406e-06,0.318481,0.548931
28,27.7115,0.021364,1.07896e-05,0.318495,0.548934
29,28.7107,0.0214239,nan,0.318481,0.548931
30,29.7099,0.0214835,1.20631e-05,0.318477,0.548924
31,30.7091,0.0215438,nan,0.318495,0.548934
32,31.7083,0.0216046,nan,0.318477,0.548925
33,32.7075,0.0216651,5.3948e-06,0.318477,0.548925
34,33.7066,0.0217256,7.62939e-06,0.318476,0.548923
35,34.7058,0.0217871,5.3948e-06,0.318476,0.548923
36,35.705,0.0218486,7.62939e-06,0.318476,0.548923
37,36.7042,0.0219107,9.34406e-06,0.318494,0.548934
38,37.7033,0.0219731,nan,0.318495,0.548934
39,38.7025,0.0220348,7.62939e-06,0.318476,0.548923
40,39.7016,0.0220981,7.62939e-06,0.318481,0.548931
41,40.7008,0.0221606,nan,0.318477,0.548925
42,41.6999,0.0222239,0,0.318481,0.548931
43,42.6991,0.0222872,7.62939e-06,0.318481,0.548931
44,43.6982,0.0223512,0,0.318495,0.548934
45,44.6973,0.0224148,0,0.318476,0.548924
46,45.6965,0.022479,nan,0.318481,0.548931
47,46.6956,0.0225433,nan,0.318476,0.548923
48,47.6947,0.0226085,7.62939e-06,0.318477,0.548925
49,48.6938,0.0226737,0,0.318481,0.548931
50,49.693,0.0227389,nan,0.318477,0.548925
51,50.6921,0.0228041,7.62939e-06,0.318476,0.548923
52,51.6912,0.0228702,0,0.318481,0.54893
53,52.6903,0.0229363,7.62939e-06,0.318476,0.548924
54,53.6894,0.0230031,7.62939e-06,0.318494,0.548934
55,54.6885,0.0230695,0,0.318481,0.54893
56,55.6876,0.0231366,nan,0.318481,0.54893
57,56.6867,0.0232043,nan,0.318494,0.548934
58,57.6858,0.0232716,7.62939e-06,0.318476,0.548924
59,58.6849,0.0233396,nan,0.318481,0.54893
60,59.6839,0.0234076,nan,0.318476,0.548923
61,60.683,0.0234765,nan,0.318477,0.548925
62,61.6821,0.0235454,nan,0.318477,0.548925
63,62.6811,0.0236144,nan,0.318476,0.548924
64,63.6802,0.0236833,nan,0.318476,0.548923
65,64.6793,0.023754,nan,0.318481,0.548931
66,65.6783,0.023823,nan,0.318476,0.548923
67,66.6774,0.0238938,nan,0.318476,0.548923
68,67.6764,0.0239645,nan,0.318476,0.548924
69,68.6755,0.0240353,nan,0.318476,0.548923
70,69.6745,0.0241068,nan,0.318493,0.548933
71,70.6735,0.0241787,0,0.318477,0.548925
72,71.6726,0.0242504,1.07896e-05,0.31848,0.54893
73,72.6716,0.0243222,nan,0.318476,0.548923
74,73.6706,0.0243948,0,0.318476,0.548923
75,74.6696,0.0244681,1.32145e-05,0.318493,0.548933
76,75.6686,0.0245419,nan,0.31848,0.54893
77,76.6676,0.0246146,nan,0.318476,0.548923
78,77.6666,0.0246891,0,0.318476,0.548925
79,78.6656,0.0247636,nan,0.31848,0.54893
80,79.6646,0.0248381,0,0.31848,0.54893
81,80.6636,0.0249126,nan,0.318476,0.548924
82,81.6626,0.0249878,1.07896e-05,0.318493,0.548932
83,82.6616,0.0250635,nan,0.318476,0.548923
84,83.6605,0.0251398,0,0.318481,0.548931
85,84.6595,0.0252162,nan,0.318481,0.548931
86,85.6585,0.0252926,nan,0.318476,0.548925
87,86.6575,0.025369,nan,0.318475,0.548923
88,87.6564,0.0254472,nan,0.31848,0.548931
89,88.6554,0.0255242,1.52588e-05,0.318492,0.548932
90,89.6543,0.0256018,1.07896e-05,0.318475,0.548922
91,90.6532,0.0256807,nan,0.318492,0.548932
92,91.6522,0.0257601,0,0.31848,0.548931
93,92.6511,0.0258383,0,0.318475,0.548923
94,93.65,0.0259184,1.32145e-05,0.31848,0.548931
95,94.649,0.0259985,nan,0.31848,0.548931
96,95.6479,0.0260786,1.32145e-05,0.31848,0.548931
97,96.6468,0.0261587,nan,0.318476,0.548923
98,97.6457,0.0262395,nan,0.318492,0.548932
99,98.6446,0.0263208,0,0.318475,0.548923
100,99.6435,0.0264027,nan,0.318476,0.548924
101,100.642,0.0264847,nan,0.318475,0.548923
102,101.641,0.0265666,nan,0.318475,0.548922
103,102.64,0.0266504,1.07896e-05,0.318477,0.548926
104,103.639,0.026734,1.32145e-05,0.318496,0.548938
105,104.638,0.0268169,7.62939e-06,0.318491,0.548932
106,105.637,0.0269016,0,0.318496,0.548938
107,106.636,0.0269857,7.62939e-06,0.318476,0.548925
108,107.634,0.0270702,7.62939e-06,0.318491,0.548931
109,108.633,0.0271552,1.52588e-05,0.318475,0.548922
110,109.632,0.0272409,1.32145e-05,0.318475,0.548922
111,110.631,0.0273266,1.07896e-05,0.318475,0.548922
112,111.63,0.0274141,nan,0.31848,0.548931
113,112.629,0.0275005,7.62939e-06,0.318491,0.548931
114,113.628,0.0275874,1.07896e-05,0.318475,0.548922
115,114.626,0.0276749,7.62939e-06,0.318475,0.548922
116,115.625,0.027764,0,0.318495,0.548938
117,116.624,0.0278519,nan,0.318475,0.548923
118,117.623,0.0279413,1.70598e-05,0.318476,0.548925
119,118.622,0.0280307,nan,0.318476,0.548925
120,119.62,0.0281201,1.07896e-05,0.318475,0.548923
121,120.619,0.0282108,1.52588e-05,0.318507,0.54894
122,121.618,0.0283008,1.52588e-05,0.318475,0.548922
123,122.617,0.028392,1.32145e-05,0.318475,0.548923
124,123.615,0.0284833,1.52588e-05,0.318475,0.548922
125,124.614,0.0285764,0,0.318483,0.548935
126,125.613,0.0286677,1.32145e-05,0.318475,0.548922
127,126.612,0.0287608,nan,0.318475,0.548923
128,127.61,0.028854,1.07896e-05,0.318475,0.548922
129,128.609,0.0289484,nan,0.318507,0.54894
130,129.608,0.0290421,nan,0.318475,0.548923
131,130.607,0.0291371,nan,0.318475,0.548923
132,131.605,0.0292321,nan,0.318475,0.548923
133,132.604,0.0293284,nan,0.318506,0.54894
134,133.603,0.0294239,nan,0.318475,0.548923
135,134.601,0.0295208,nan,0.318476,0.548925
136,135.6,0.0296176,nan,0.318476,0.548925
137,136.599,0.0297145,nan,0.318474,0.548922
138,137.597,0.0298132,nan,0.318475,0.548925
139,138.596,0.0299119,nan,0.318475,0.548925
140,139.595,0.0300107,1.07896e-05,0.318475,0.548925
141,140.593,0.0301094,0,0.318474,0.548922
142,141.592,0.03021,0,0.318474,0.548922
143,142.591,0.0303105,nan,0.318475,0.548925
144,143.589,0.0304111,nan,0.318474,0.548922
145,144.588,0.0305135,nan,0.318482,0.548934
146,145.587,0.0306155,0,0.318505,0.548939
147,146.585,0.030718,nan,0.318505,0.548939
148,147.584,0.0308209,nan,0.318482,0.548934
149,148.582,0.0309247,0,0.318505,0.54894
150,149.581,0.0310277,1.52588e-05,0.318474,0.548922
151,150.58,0.0311333,1.07896e-05,0.318505,0.54894
152,151.578,0.0312381,1.70598e-05,0.318482,0.548934
153,152.577,0.0313438,1.07896e-05,0.318504,0.548939
154,153.575,0.03145,1.86881e-05,0.318504,0.548939
155,154.574,0.0315566,1.07896e-05,0.318482,0.548933
156,155.572,0.0316628,0,0.318474,0.548921
157,156.571,0.0317709,nan,0.318474,0.548922
158,157.57,0.0318789,nan,0.318474,0.548921
159,158.568,0.0319887,0,0.318481,0.548933
160,159.567,0.0320986,0,0.318481,0.548934
161,160.565,0.0322085,0,0.318481,0.548933
162,161.564,0.0323185,1.07896e-05,0.318474,0.548922
163,162.562,0.0324302,nan,0.318481,0.548933
164,163.561,0.0325419,1.52588e-05,0.318481,0.548933
165,164.559,0.0326537,1.86881e-05,0.318475,0.548924
166,165.558,0.0327668,1.07896e-05,0.318503,0.548938
167,166.556,0.0328809,0,0.318481,0.548933
168,167.554,0.0329946,nan,0.318481,0.548933
169,168.553,0.0331082,nan,0.318473,0.548921
170,169.551,0.0332237,0,0.318474,0.548922
171,170.55,0.0333406,nan,0.318503,0.548938
172,171.548,0.0334565,1.07896e-05,0.318481,0.548933
173,172.547,0.0335739,0,0.318474,0.548924
174,173.545,0.0336912,0,0.318481,0.548932
175,174.543,0.0338099,nan,0.318503,0.548937
176,175.542,0.0339278,1.07896e-05,0.318473,0.548921
177,176.54,0.0340483,1.07896e-05,0.318502,0.548937
178,177.539,0.0341681,1.52588e-05,0.318474,0.548923
179,178.537,0.0342892,1.52588e-05,0.318474,0.548924
180,179.535,0.0344116,0,0.318503,0.54894
181,180.534,0.0345326,1.07896e-05,0.318502,0.548937
182,181.532,0.0346556,0,0.318502,0.548937
183,182.53,0.034779,0,0.31848,0.548932
184,183.529,0.0349038,1.86881e-05,0.31848,0.548933
185,184.527,0.0350281,1.07896e-05,0.318502,0.548937
186,185.525,0.0351534,0,0.318474,0.548923
187,186.524,0.03528,nan,0.31848,0.548933
188,187.522,0.0354067,nan,0.31848,0.548933
189,188.52,0.0355334,0,0.318474,0.548923
190,189.518,0.0356614,1.07896e-05,0.318501,0.548936
191,190.517,0.0357904,nan,0.318473,0.548923
192,191.515,0.0359208,nan,0.318481,0.548935
193,192.513,0.0360512,0,0.318481,0.548934
194,193.511,0.0361815,nan,0.31848,0.548932
195,194.51,0.036312,0,0.318472,0.548921
196,195.508,0.036446,1.52588e-05,0.31848,0.548934
197,196.506,0.0365783,0,0.318479,0.548931
198,197.504,0.0367119,1.07896e-05,0.3185,0.548936
199,198.502,0.0368465,1.52588e-05,0.318479,0.548931
200,199.501,0.0369825,nan,0.318479,0.548932
201,200.499,0.037118,0,0.3185,0.548936
202,201.497,0.0372545,1.86881e-05,0.318473,0.548923
203,202.495,0.0373923,nan,0.318473,0.548923
204,203.493,0.0375302,0,0.318472,0.548921
205,204.491,0.0376698,1.07896e-05,0.318479,0.548931
