total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
0,-0.26717,0.0197866,0,0.313135,0.533157
1,0.732101,0.0198406,7.62939e-06,0.31314,0.533164
2,1.73138,0.0198937,nan,0.313135,0.533157
3,2.73066,0.0199475,nan,0.313154,0.533168
4,3.72993,0.0200015,5.3948e-06,0.313154,0.533168
5,4.7292,0.0200555,nan,0.313154,0.533168
6,5.72847,0.0201098,nan,0.313135,0.533157
7,6.72772,0.0201647,1.07896e-05,0.313139,0.533164
8,7.72699,0.0202188,nan,0.313135,0.533157
9,8.72624,0.0202746,7.62939e-06,0.31314,0.533164
10,9.7255,0.0203296,nan,0.313135,0.533158
11,10.7248,0.0203845,nan,0.313135,0.533157
12,11.724,0.0204404,9.34406e-06,0.313135,0.533157
13,12.7232,0.0204963,7.62939e-06,0.313135,0.533157
14,13.7225,0.0205528,5.3948e-06,0.313154,0.533167
15,14.7217,0.020609,nan,0.313135,0.533157
16,15.721,0.0206658,9.34406e-06,0.313135,0.533157
17,16.7202,0.0207226,0,0.313135,0.533158
18,17.7194,0.0207794,7.62939e-06,0.313135,0.533157
19,18.7186,0.0208371,0,0.313135,0.533158
20,19.7179,0.0208949,9.34406e-06,0.313139,0.533164
21,20.7171,0.0209526,7.62939e-06,0.313135,0.533158
22,21.7163,0.0210104,0,0.313135,0.533157
23,22.7155,0.0210688,0,0.313153,0.533167
24,23.7147,0.0211275,nan,0.313153,0.533167
25,24.7139,0.0211855,5.3948e-06,0.313135,0.533157
26,25.7131,0.0212451,1.07896e-05,0.313135,0.533157
27,26.7123,0.0213046,5.3948e-06,0.313139,0.533163
28,27.7115,0.021364,5.3948e-06,0.313153,0.533167
29,28.7107,0.0214239,0,0.313139,0.533163
30,29.7099,0.0214835,1.20631e-05,0.313135,0.533157
31,30.7091,0.0215438,1.07896e-05,0.313153,0.533167
32,31.7083,0.0216046,1.20631e-05,0.313135,0.533158
33,32.7075,0.0216651,5.3948e-06,0.313135,0.533158
34,33.7066,0.0217256,0,0.313135,0.533157
35,34.7058,0.0217871,9.34406e-06,0.313135,0.533157
36,35.705,0.0218486,7.62939e-06,0.313135,0.533157
37,36.7042,0.0219107,7.62939e-06,0.313153,0.533167
38,37.7033,0.0219731,7.62939e-06,0.313153,0.533167
39,38.7025,0.0220348,0,0.313135,0.533157
40,39.7016,0.0220981,1.07896e-05,0.313139,0.533163
41,40.7008,0.0221606,7.62939e-06,0.313135,0.533158
42,41.6999,0.0222239,1.07896e-05,0.313139,0.533163
43,42.6991,0.0222872,1.07896e-05,0.313139,0.533163
44,43.6982,0.0223512,1.07896e-05,0.313153,0.533167
45,44.6973,0.0224148,0,0.313134,0.533157
46,45.6965,0.022479,7.62939e-06,0.313139,0.533163
47,46.6956,0.0225433,0,0.313134,0.533157
48,47.6947,0.0226085,nan,0.313135,0.533158
49,48.6938,0.0226737,nan,0.313139,0.533163
50,49.693,0.0227389,7.62939e-06,0.313135,0.533158
51,50.6921,0.0228041,7.62939e-06,0.313134,0.533157
52,51.6912,0.0228702,0,0.313139,0.533163
53,52.6903,0.0229363,nan,0.313134,0.533157
54,53.6894,0.0230031,nan,0.313152,0.533166
55,54.6885,0.0230695,nan,0.313139,0.533163
56,55.6876,0.0231366,nan,0.313138,0.533163
57,56.6867,0.0232043,nan,0.313152,0.533167
58,57.6858,0.0232716,7.62939e-06,0.313134,0.533157
59,58.6849,0.0233396,0,0.313138,0.533163
60,59.6839,0.0234076,nan,0.313134,0.533157
61,60.683,0.0234765,0,0.313135,0.533157
62,61.6821,0.0235454,1.07896e-05,0.313135,0.533157
63,62.6811,0.0236144,nan,0.313134,0.533157
64,63.6802,0.0236833,nan,0.313134,0.533156
65,64.6793,0.023754,0,0.313138,0.533163
66,65.6783,0.023823,nan,0.313134,0.533156
67,66.6774,0.0238938,nan,0.313134,0.533156
68,67.6764,0.0239645,nan,0.313134,0.533157
69,68.6755,0.0240353,nan,0.313134,0.533156
70,69.6745,0.0241068,nan,0.313151,0.533166
71,70.6735,0.0241787,nan,0.313134,0.533157
72,71.6726,0.0242504,1.07896e-05,0.313138,0.533163
73,72.6716,0.0243222,7.62939e-06,0.313134,0.533156
74,73.6706,0.0243948,0,0.313134,0.533156
75,74.6696,0.0244681,7.62939e-06,0.313151,0.533166
76,75.6686,0.0245419,nan,0.313138,0.533163
77,76.6676,0.0246146,0,0.313134,0.533156
78,77.6666,0.0246891,1.07896e-05,0.313134,0.533157
79,78.6656,0.0247636,7.62939e-06,0.313138,0.533162
80,79.6646,0.0248381,1.07896e-05,0.313138,0.533162
81,80.6636,0.0249126,1.07896e-05,0.313134,0.533156
82,81.6626,0.0249878,1.32145e-05,0.313151,0.533166
83,82.6616,0.0250635,7.62939e-06,0.313134,0.533156
84,83.6605,0.0251398,7.62939e-06,0.313138,0.533163
85,84.6595,0.0252162,nan,0.313138,0.533163
86,85.6585,0.0252926,nan,0.313134,0.533157
87,86.6575,0.025369,0,0.313134,0.533156
88,87.6564,0.0254472,nan,0.313138,0.533163
89,88.6554,0.0255242,7.62939e-06,0.31315,0.533165
90,89.6543,0.0256018,7.62939e-06,0.313134,0.533156
91,90.6532,0.0256807,nan,0.31315,0.533165
92,91.6522,0.0257601,1.07896e-05,0.313138,0.533163
93,92.6511,0.0258383,nan,0.313134,0.533156
94,93.65,0.0259184,7.62939e-06,0.313138,0.533163
95,94.649,0.0259985,nan,0.313138,0.533163
96,95.6479,0.0260786,0,0.313138,0.533163
97,96.6468,0.0261587,7.62939e-06,0.313134,0.533156
98,97.6457,0.0262395,7.62939e-06,0.31315,0.533165
99,98.6446,0.0263208,7.62939e-06,0.313134,0.533156
100,99.6435,0.0264027,1.07896e-05,0.313134,0.533156
101,100.642,0.0264847,1.32145e-05,0.313133,0.533156
102,101.641,0.0265666,nan,0.313134,0.533156
103,102.64,0.0266505,1.07896e-05,0.313134,0.533158
104,103.639,0.026734,0,0.313154,0.533171
105,104.638,0.0268169,7.62939e-06,0.31315,0.533165
106,105.637,0.0269016,1.07896e-05,0.313154,0.533171
107,106.636,0.0269857,1.07896e-05,0.313134,0.533157
108,107.634,0.0270702,nan,0.31315,0.533165
109,108.633,0.0271552,1.07896e-05,0.313133,0.533156
110,109.632,0.0272409,1.86881e-05,0.313133,0.533156
111,110.631,0.0273266,nan,0.313133,0.533156
112,111.63,0.0274141,7.62939e-06,0.313137,0.533162
113,112.629,0.0275005,1.52588e-05,0.313149,0.533165
114,113.628,0.0275874,1.52588e-05,0.313133,0.533156
115,114.626,0.0276749,1.32145e-05,0.313133,0.533156
116,115.625,0.027764,0,0.313153,0.533171
117,116.624,0.0278519,1.70598e-05,0.313133,0.533156
118,117.623,0.0279413,1.32145e-05,0.313134,0.533157
119,118.622,0.0280307,nan,0.313134,0.533157
120,119.62,0.0281201,1.07896e-05,0.313133,0.533156
121,120.619,0.0282108,1.70598e-05,0.313165,0.533173
122,121.618,0.0283008,1.86881e-05,0.313133,0.533156
123,122.617,0.028392,nan,0.313133,0.533156
124,123.615,0.0284833,1.32145e-05,0.313133,0.533156
125,124.614,0.0285764,1.07896e-05,0.313141,0.533167
126,125.613,0.0286677,nan,0.313133,0.533156
127,126.612,0.0287608,nan,0.313133,0.533156
128,127.61,0.028854,nan,0.313133,0.533156
129,128.609,0.0289484,1.86881e-05,0.313164,0.533173
130,129.608,0.0290421,1.32145e-05,0.313133,0.533156
131,130.607,0.0291371,nan,0.313133,0.533156
132,131.605,0.0292321,1.07896e-05,0.313133,0.533156
133,132.604,0.0293284,1.32145e-05,0.313164,0.533173
134,133.603,0.0294239,1.52588e-05,0.313133,0.533156
135,134.601,0.0295208,nan,0.313133,0.533157
136,135.6,0.0296176,nan,0.313133,0.533157
137,136.599,0.0297145,0,0.313133,0.533155
138,137.597,0.0298132,7.62939e-06,0.313133,0.533157
139,138.596,0.0299119,nan,0.313133,0.533157
140,139.595,0.0300107,0,0.313133,0.533157
141,140.593,0.0301094,7.62939e-06,0.313132,0.533155
142,141.592,0.03021,nan,0.313133,0.533155
143,142.591,0.0303106,nan,0.313133,0.533157
144,143.589,0.0304111,nan,0.313132,0.533155
145,144.588,0.0305135,7.62939e-06,0.31314,0.533166
146,145.587,0.0306155,1.07896e-05,0.313163,0.533172
147,146.585,0.030718,nan,0.313163,0.533172
148,147.584,0.0308209,1.07896e-05,0.31314,0.533166
149,148.582,0.0309247,nan,0.313163,0.533172
150,149.581,0.0310277,nan,0.313132,0.533155
151,150.58,0.0311333,1.32145e-05,0.313163,0.533172
152,151.578,0.0312381,7.62939e-06,0.313139,0.533166
153,152.577,0.0313438,0,0.313162,0.533172
154,153.575,0.03145,1.52588e-05,0.313162,0.533172
155,154.574,0.0315566,1.07896e-05,0.313139,0.533166
156,155.572,0.0316628,0,0.313132,0.533155
157,156.571,0.0317709,0,0.313132,0.533155
158,157.57,0.0318789,nan,0.313132,0.533155
159,158.568,0.0319887,0,0.313139,0.533166
160,159.567,0.0320986,0,0.313139,0.533166
161,160.565,0.0322085,1.52588e-05,0.313139,0.533166
162,161.564,0.0323185,0,0.313132,0.533155
163,162.562,0.0324302,1.07896e-05,0.313139,0.533165
164,163.561,0.0325419,1.07896e-05,0.313139,0.533166
165,164.559,0.0326538,1.07896e-05,0.313132,0.533156
166,165.558,0.0327669,0,0.313161,0.533171
167,166.556,0.0328809,1.07896e-05,0.313139,0.533165
168,167.554,0.0329946,1.07896e-05,0.313139,0.533165
169,168.553,0.0331082,nan,0.313132,0.533154
170,169.551,0.0332237,0,0.313132,0.533155
171,170.55,0.0333406,0,0.313161,0.533171
172,171.548,0.0334565,1.52588e-05,0.313139,0.533165
173,172.547,0.0335739,0,0.313132,0.533156
174,173.545,0.0336912,nan,0.313138,0.533165
175,174.543,0.0338099,1.07896e-05,0.313161,0.533171
176,175.542,0.0339278,1.07896e-05,0.313131,0.533154
177,176.54,0.0340484,0,0.31316,0.53317
178,177.539,0.0341681,0,0.313132,0.533156
179,178.537,0.0342892,0,0.313132,0.533156
180,179.535,0.0344116,1.07896e-05,0.313161,0.533172
181,180.534,0.0345326,1.07896e-05,0.31316,0.53317
182,181.532,0.0346556,nan,0.31316,0.53317
183,182.53,0.034779,1.07896e-05,0.313138,0.533164
184,183.529,0.0349038,1.86881e-05,0.313138,0.533165
185,184.527,0.0350281,1.07896e-05,0.31316,0.53317
186,185.525,0.0351534,1.07896e-05,0.313131,0.533155
187,186.524,0.03528,1.07896e-05,0.313138,0.533164
188,187.522,0.0354067,1.07896e-05,0.313138,0.533164
189,188.52,0.0355334,1.07896e-05,0.313131,0.533155
190,189.518,0.0356614,1.07896e-05,0.313159,0.53317
191,190.517,0.0357904,1.07896e-05,0.313131,0.533155
192,191.515,0.0359208,0,0.313138,0.533165
193,192.513,0.0360512,nan,0.313138,0.533165
194,193.511,0.0361815,1.07896e-05,0.313138,0.533164
195,194.51,0.036312,0,0.313131,0.533154
196,195.508,0.036446,1.07896e-05,0.313138,0.533165
197,196.506,0.0365783,1.52588e-05,0.313137,0.533164
198,197.504,0.0367119,1.07896e-05,0.313158,0.533169
199,198.502,0.0368465,2.15792e-05,0.313137,0.533164
200,199.501,0.0369825,nan,0.313137,0.533164
201,200.499,0.037118,1.07896e-05,0.313158,0.533169
202,201.497,0.0372545,2.15792e-05,0.313131,0.533155
203,202.495,0.0373923,0,0.313131,0.533155
204,203.493,0.0375302,1.86881e-05,0.31313,0.533153
205,204.491,0.0376698,1.86881e-05,0.313137,0.533163
206,205.489,0.0378096,1.52588e-05,0.313131,0.533155
207,206.488,0.0379511,1.52588e-05,0.313137,0.533165
208,207.486,0.0380926,0,0.313137,0.533164
209,208.484,0.0382342,nan,0.313137,0.533163
210,209.482,0.0383771,1.52588e-05,0.313157,0.533168
