total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
0,-0.26717,0.0197866,7.62939e-06,0.387562,0.659416
1,0.732101,0.0198406,nan,0.387572,0.659429
2,1.73138,0.0198937,7.62939e-06,0.387562,0.659417
3,2.73066,0.0199475,0,0.387584,0.659428
4,3.72993,0.0200015,5.3948e-06,0.387584,0.659428
5,4.7292,0.0200555,0,0.387584,0.659428
6,5.72847,0.0201098,0,0.387562,0.659417
7,6.72773,0.0201647,7.62939e-06,0.387572,0.659429
8,7.72699,0.0202188,nan,0.387562,0.659415
9,8.72624,0.0202746,5.3948e-06,0.387572,0.659429
10,9.7255,0.0203296,0,0.387564,0.659421
11,10.7248,0.0203845,7.62939e-06,0.387561,0.659415
12,11.724,0.0204404,nan,0.387561,0.659415
13,12.7232,0.0204963,9.34406e-06,0.387561,0.659415
14,13.7225,0.0205528,5.3948e-06,0.387584,0.659428
15,14.7217,0.020609,0,0.387562,0.659417
16,15.721,0.0206658,1.20631e-05,0.387562,0.659417
17,16.7202,0.0207226,5.3948e-06,0.387564,0.659421
18,17.7194,0.0207794,5.3948e-06,0.387561,0.659415
19,18.7186,0.0208371,nan,0.387564,0.659421
20,19.7179,0.0208948,5.3948e-06,0.387571,0.659428
21,20.7171,0.0209526,7.62939e-06,0.387564,0.659421
22,21.7163,0.0210104,7.62939e-06,0.387562,0.659417
23,22.7155,0.0210688,7.62939e-06,0.387583,0.659427
24,23.7147,0.0211274,nan,0.387583,0.659427
25,24.7139,0.0211855,1.07896e-05,0.387561,0.659415
26,25.7131,0.0212451,1.20631e-05,0.387562,0.659417
27,26.7123,0.0213046,5.3948e-06,0.387571,0.659428
28,27.7115,0.021364,0,0.387583,0.659427
29,28.7107,0.0214238,9.34406e-06,0.387571,0.659428
30,29.7099,0.0214835,nan,0.387562,0.659417
31,30.7091,0.0215437,nan,0.387583,0.659427
32,31.7083,0.0216045,nan,0.387564,0.659421
33,32.7075,0.0216651,7.62939e-06,0.387564,0.659421
34,33.7066,0.0217256,5.3948e-06,0.387561,0.659415
35,34.7058,0.0217871,0,0.387561,0.659415
36,35.705,0.0218486,1.07896e-05,0.387561,0.659415
37,36.7042,0.0219107,0,0.387582,0.659427
38,37.7033,0.0219731,nan,0.387583,0.659428
39,38.7025,0.0220348,5.3948e-06,0.387561,0.659415
40,39.7016,0.0220981,nan,0.387571,0.659428
