total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
0,-0.26717,0.0197866,7.62939e-06,0.369033,0.61847
1,0.732101,0.0198406,nan,0.369042,0.618481
2,1.73138,0.0198937,0,0.369033,0.61847
3,2.73066,0.0199475,nan,0.369054,0.618481
4,3.72993,0.0200015,nan,0.369054,0.618481
5,4.7292,0.0200555,nan,0.369055,0.618482
6,5.72847,0.0201098,0,0.369033,0.61847
7,6.72773,0.0201647,5.3948e-06,0.369041,0.618481
8,7.72699,0.0202188,nan,0.369033,0.61847
9,8.72624,0.0202746,0,0.369042,0.618481
10,9.7255,0.0203296,nan,0.369034,0.618473
11,10.7248,0.0203845,0,0.369033,0.61847
12,11.724,0.0204404,7.62939e-06,0.369033,0.61847
13,12.7232,0.0204963,nan,0.369033,0.61847
14,13.7225,0.0205528,5.3948e-06,0.369054,0.618481
15,14.7217,0.020609,7.62939e-06,0.369033,0.61847
16,15.721,0.0206658,7.62939e-06,0.369033,0.61847
17,16.7202,0.0207226,0,0.369034,0.618473
18,17.7194,0.0207794,nan,0.369033,0.61847
19,18.7186,0.0208371,5.3948e-06,0.369034,0.618473
20,19.7179,0.0208948,9.34406e-06,0.369041,0.618481
21,20.7171,0.0209526,5.3948e-06,0.369034,0.618473
22,21.7163,0.0210104,0,0.369033,0.61847
23,22.7155,0.0210688,0,0.369054,0.618481
24,23.7147,0.0211274,nan,0.369054,0.618481
25,24.7139,0.0211855,1.07896e-05,0.369033,0.61847
26,25.7131,0.0212451,5.3948e-06,0.369033,0.61847
27,26.7123,0.0213046,5.3948e-06,0.369041,0.618481
28,27.7115,0.021364,5.3948e-06,0.369053,0.618481
29,28.7107,0.0214238,5.3948e-06,0.369041,0.61848
30,29.7099,0.0214835,nan,0.369033,0.61847
31,30.7091,0.0215437,0,0.369053,0.618481
32,31.7083,0.0216046,nan,0.369034,0.618473
33,32.7075,0.0216651,nan,0.369034,0.618473
34,33.7066,0.0217256,0,0.369032,0.618469
35,34.7058,0.0217871,nan,0.369032,0.618469
36,35.705,0.0218486,nan,0.369032,0.618469
37,36.7042,0.0219107,nan,0.369053,0.61848
38,37.7033,0.0219731,nan,0.369053,0.618481
39,38.7025,0.0220348,0,0.369032,0.618469
40,39.7016,0.0220981,7.62939e-06,0.36904,0.61848
41,40.7008,0.0221606,nan,0.369034,0.618472
42,41.6999,0.0222238,0,0.369041,0.61848
43,42.6991,0.0222872,1.07896e-05,0.369041,0.61848
44,43.6982,0.0223512,nan,0.369053,0.618481
45,44.6973,0.0224148,0,0.369032,0.618469
46,45.6965,0.022479,1.07896e-05,0.36904,0.61848
47,46.6956,0.0225433,nan,0.369032,0.618469
48,47.6947,0.0226085,nan,0.369034,0.618472
49,48.6938,0.0226737,0,0.36904,0.61848
50,49.693,0.0227389,nan,0.369034,0.618472
51,50.6921,0.0228041,nan,0.369032,0.618469
52,51.6912,0.0228702,nan,0.36904,0.61848
53,52.6903,0.0229363,0,0.369032,0.618469
54,53.6894,0.0230031,0,0.369052,0.61848
55,54.6885,0.0230695,1.07896e-05,0.36904,0.61848
56,55.6876,0.0231365,7.62939e-06,0.36904,0.61848
57,56.6867,0.0232043,7.62939e-06,0.369052,0.61848
58,57.6858,0.0232716,7.62939e-06,0.369032,0.618469
59,58.6849,0.0233396,nan,0.36904,0.61848
60,59.6839,0.0234076,0,0.369032,0.618469
61,60.683,0.0234765,nan,0.369033,0.618472
62,61.6821,0.0235454,0,0.369033,0.618472
63,62.6811,0.0236144,nan,0.369032,0.618469
64,63.6802,0.0236833,7.62939e-06,0.369032,0.618469
65,64.6793,0.023754,1.07896e-05,0.36904,0.61848
66,65.6783,0.023823,nan,0.369032,0.618469
67,66.6774,0.0238937,7.62939e-06,0.369032,0.618469
68,67.6764,0.0239645,7.62939e-06,0.369032,0.618469
69,68.6755,0.0240353,nan,0.369032,0.618469
70,69.6745,0.0241067,nan,0.369051,0.618479
