total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
0,-0.26717,0.0197866,nan,0.108309,0.365787
1,0.732101,0.0198406,7.62939e-06,0.108311,0.365794
2,1.73138,0.0198937,nan,0.108309,0.365787
3,2.73066,0.0199477,nan,0.108317,0.365799
4,3.72993,0.0200017,nan,0.108317,0.365799
5,4.7292,0.0200557,7.62939e-06,0.108317,0.365799
6,5.72847,0.0201098,nan,0.108309,0.365787
7,6.72772,0.0201647,0,0.108311,0.365793
8,7.72699,0.0202188,7.62939e-06,0.108309,0.365787
9,8.72624,0.0202746,1.07896e-05,0.108311,0.365793
10,9.7255,0.0203296,5.3948e-06,0.108309,0.365789
11,10.7248,0.0203845,nan,0.108309,0.365787
12,11.724,0.0204404,1.32145e-05,0.108309,0.365787
13,12.7232,0.0204963,9.34406e-06,0.108309,0.365787
14,13.7225,0.020553,nan,0.108317,0.365799
15,14.7217,0.020609,nan,0.108309,0.365787
16,15.721,0.0206658,7.62939e-06,0.108309,0.365787
17,16.7202,0.0207226,nan,0.108309,0.365789
18,17.7194,0.0207794,9.34406e-06,0.108308,0.365787
19,18.7186,0.0208371,nan,0.108309,0.365789
20,19.7179,0.0208949,nan,0.108311,0.365793
21,20.7171,0.0209526,0,0.108309,0.365788
22,21.7163,0.0210104,nan,0.108309,0.365787
23,22.7155,0.021069,nan,0.108316,0.365799
24,23.7147,0.0211276,nan,0.108317,0.365799
25,24.7139,0.0211855,1.20631e-05,0.108308,0.365787
26,25.7131,0.0212451,0,0.108309,0.365787
27,26.7123,0.0213047,1.07896e-05,0.108311,0.365793
28,27.7115,0.0213642,nan,0.108316,0.365799
29,28.7107,0.0214239,nan,0.108311,0.365793
30,29.7099,0.0214835,nan,0.108309,0.365787
31,30.7091,0.0215439,5.3948e-06,0.108316,0.365799
32,31.7083,0.0216046,9.34406e-06,0.108309,0.365788
33,32.7075,0.0216651,nan,0.108309,0.365788
34,33.7066,0.0217256,1.20631e-05,0.108308,0.365786
35,34.7058,0.0217871,0,0.108308,0.365786
36,35.705,0.0218486,5.3948e-06,0.108308,0.365786
37,36.7041,0.0219109,nan,0.108316,0.365798
38,37.7033,0.0219733,7.62939e-06,0.108316,0.365799
39,38.7025,0.0220348,0,0.108308,0.365786
40,39.7016,0.0220981,nan,0.108311,0.365793
41,40.7008,0.0221606,nan,0.108309,0.365788
42,41.6999,0.0222239,1.32145e-05,0.108311,0.365793
43,42.6991,0.0222872,nan,0.108311,0.365793
44,43.6982,0.0223514,7.62939e-06,0.108316,0.365799
45,44.6973,0.0224148,7.62939e-06,0.108308,0.365787
46,45.6965,0.0224791,0,0.108311,0.365793
47,46.6956,0.0225433,7.62939e-06,0.108308,0.365786
48,47.6947,0.0226085,nan,0.108309,0.365788
49,48.6938,0.0226737,1.32145e-05,0.108311,0.365793
50,49.693,0.0227389,0,0.108309,0.365788
51,50.6921,0.0228041,0,0.108308,0.365786
52,51.6912,0.0228702,1.52588e-05,0.108311,0.365793
53,52.6903,0.0229363,7.62939e-06,0.108308,0.365787
54,53.6894,0.0230033,nan,0.108316,0.365798
55,54.6885,0.0230695,7.62939e-06,0.108311,0.365792
56,55.6876,0.0231366,7.62939e-06,0.10831,0.365792
57,56.6867,0.0232045,0,0.108316,0.365799
58,57.6858,0.0232716,1.70598e-05,0.108308,0.365787
59,58.6849,0.0233396,nan,0.10831,0.365792
60,59.6839,0.0234076,0,0.108308,0.365786
61,60.683,0.0234765,nan,0.108309,0.365788
62,61.6821,0.0235454,nan,0.108309,0.365788
63,62.6811,0.0236143,1.07896e-05,0.108308,0.365787
64,63.6802,0.0236833,0,0.108308,0.365786
65,64.6793,0.023754,nan,0.10831,0.365793
66,65.6783,0.023823,7.62939e-06,0.108308,0.365786
67,66.6774,0.0238937,1.07896e-05,0.108308,0.365786
68,67.6764,0.0239645,7.62939e-06,0.108308,0.365786
