total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
0,-0.26717,0.0197866,0,0.0840105,0.28771
1,0.732101,0.0198406,0,0.0840109,0.287712
2,1.73138,0.0198937,nan,0.0840105,0.28771
3,2.73066,0.0199477,0,0.0840169,0.28772
4,3.72993,0.0200017,7.62939e-06,0.0840169,0.28772
5,4.7292,0.0200557,0,0.084017,0.28772
6,5.72847,0.0201098,5.3948e-06,0.0840105,0.28771
7,6.72772,0.0201647,nan,0.0840109,0.287712
8,7.72699,0.0202188,nan,0.0840105,0.28771
9,8.72624,0.0202746,9.34406e-06,0.0840109,0.287712
10,9.7255,0.0203296,nan,0.0840106,0.287711
11,10.7248,0.0203845,nan,0.0840105,0.28771
12,11.724,0.0204404,0,0.0840105,0.28771
13,12.7232,0.0204963,1.07896e-05,0.0840105,0.28771
14,13.7225,0.020553,7.62939e-06,0.0840169,0.28772
15,14.7217,0.020609,nan,0.0840105,0.28771
16,15.721,0.0206658,7.62939e-06,0.0840105,0.28771
17,16.7202,0.0207226,nan,0.0840105,0.287711
18,17.7194,0.0207794,nan,0.0840105,0.28771
19,18.7186,0.0208372,nan,0.0840105,0.287711
20,19.7179,0.0208949,7.62939e-06,0.0840108,0.287712
21,20.7171,0.0209526,7.62939e-06,0.0840105,0.287711
22,21.7163,0.0210104,7.62939e-06,0.0840104,0.28771
23,22.7155,0.021069,7.62939e-06,0.0840167,0.28772
24,23.7147,0.0211276,1.07896e-05,0.0840168,0.28772
25,24.7139,0.0211855,nan,0.0840104,0.28771
26,25.7131,0.0212451,nan,0.0840105,0.28771
27,26.7123,0.0213047,1.07896e-05,0.0840108,0.287712
28,27.7115,0.0213642,9.34406e-06,0.0840167,0.28772
29,28.7107,0.0214239,9.34406e-06,0.0840108,0.287712
30,29.7099,0.0214835,5.3948e-06,0.0840104,0.28771
31,30.7091,0.0215439,9.34406e-06,0.0840167,0.28772
32,31.7083,0.0216046,nan,0.0840105,0.287711
33,32.7075,0.0216651,1.07896e-05,0.0840105,0.28771
34,33.7066,0.0217256,nan,0.0840104,0.28771
35,34.7058,0.0217871,7.62939e-06,0.0840104,0.28771
36,35.705,0.0218486,0,0.0840104,0.28771
37,36.7041,0.0219109,1.20631e-05,0.0840165,0.28772
38,37.7033,0.0219733,7.62939e-06,0.0840166,0.28772
